Job 1: Waiting time = 0.0006951168179512024 | Resolution time = 0.000684778206050396 | Resolution type = Policy
Job 2: Waiting time = 0.00018836837261915207 | Resolution time = 0.00018223747611045837 | Resolution type = Policy
Job 3: Waiting time = 0.0012320801615715027 | Resolution time = 0.0012253932654857635 | Resolution type = None
Job 4: Waiting time = 0.0008185012266039848 | Resolution time = 0.0008119838312268257 | Resolution type = None
Job 5: Waiting time = 0.0009667286649346352 | Resolution time = 0.000960012897849083 | Resolution type = None
Job 6: Waiting time = 6.76540657877922e-05 | Resolution time = 5.69978728890419e-05 | Resolution type = Policy
Job 7: Waiting time = 0.0012797210365533829 | Resolution time = 0.0012743789702653885 | Resolution type = None
Job 8: Waiting time = 0.0007958477362990379 | Resolution time = 0.0007862197235226631 | Resolution type = Policy
Job 9: Waiting time = 0.000751866027712822 | Resolution time = 0.000746801495552063 | Resolution type = None
Job 10: Waiting time = 0.0007204962894320488 | Resolution time = 0.0007157176733016968 | Resolution type = Policy
Job 11: Waiting time = 0.0007964782416820526 | Resolution time = 0.0007910048589110374 | Resolution type = Policy
Job 12: Waiting time = 0.0006991289556026459 | Resolution time = 0.0006938409060239792 | Resolution type = None
Job 13: Waiting time = 0.00015343353152275085 | Resolution time = 0.00014886166900396347 | Resolution type = Policy
Job 14: Waiting time = 0.0005799299106001854 | Resolution time = 0.0005750842392444611 | Resolution type = Policy
Job 15: Waiting time = 0.0010454840958118439 | Resolution time = 0.0010403497144579887 | Resolution type = None
Job 16: Waiting time = 9.396951645612717e-05 | Resolution time = 8.942093700170517e-05 | Resolution type = Policy
Job 17: Waiting time = 0.0006651300936937332 | Resolution time = 0.0006597964093089104 | Resolution type = None
Job 18: Waiting time = 0.0003084558993577957 | Resolution time = 0.0003032088279724121 | Resolution type = Policy
Job 19: Waiting time = 7.622223347425461e-05 | Resolution time = 5.7223252952098846e-05 | Resolution type = Policy
Job 20: Waiting time = 0.00017867237329483032 | Resolution time = 0.0001632561907172203 | Resolution type = Policy
Job 21: Waiting time = 0.0004984838888049126 | Resolution time = 0.00047990959137678146 | Resolution type = Policy
Job 22: Waiting time = 0.0011743074283003807 | Resolution time = 0.0010325731709599495 | Resolution type = None
Job 23: Waiting time = 0.0006288252770900726 | Resolution time = 0.0006149029359221458 | Resolution type = Policy
Job 24: Waiting time = 0.0010697664692997932 | Resolution time = 0.0010533062741160393 | Resolution type = None
Job 25: Waiting time = 0.001035524532198906 | Resolution time = 0.0010209949687123299 | Resolution type = None
Job 26: Waiting time = 0.0006714332848787308 | Resolution time = 0.0006585903465747833 | Resolution type = None
Job 27: Waiting time = 0.0010042870417237282 | Resolution time = 0.000990285538136959 | Resolution type = None
Job 28: Waiting time = 0.00038572587072849274 | Resolution time = 0.00037200283259153366 | Resolution type = Policy
Job 29: Waiting time = 0.001259361393749714 | Resolution time = 0.0012450003996491432 | Resolution type = None
Job 30: Waiting time = 0.000815296545624733 | Resolution time = 0.0008018109947443008 | Resolution type = Policy
Job 31: Waiting time = 0.0006767995655536652 | Resolution time = 0.0006643114611506462 | Resolution type = None
Job 32: Waiting time = 0.0004004407674074173 | Resolution time = 0.0003852015361189842 | Resolution type = Policy
Job 33: Waiting time = 0.0006663594394922256 | Resolution time = 0.0006520887836813927 | Resolution type = Policy
Job 34: Waiting time = 0.0007286015897989273 | Resolution time = 0.0007144855335354805 | Resolution type = None
Job 35: Waiting time = 0.0007358584553003311 | Resolution time = 0.0007171193137764931 | Resolution type = None
Job 36: Waiting time = 0.0002475772053003311 | Resolution time = 0.0002332441508769989 | Resolution type = Policy
Job 37: Waiting time = 0.0010605230927467346 | Resolution time = 0.0010475954040884972 | Resolution type = None
Job 38: Waiting time = 0.0008112108334898949 | Resolution time = 0.000797211192548275 | Resolution type = Policy
Job 39: Waiting time = 0.0006860876455903053 | Resolution time = 0.000671684741973877 | Resolution type = None
Job 40: Waiting time = 0.0010229218751192093 | Resolution time = 0.001008518971502781 | Resolution type = None
Job 41: Waiting time = 0.0009275898337364197 | Resolution time = 0.0009129941463470459 | Resolution type = None
Job 42: Waiting time = 0.0009668115526437759 | Resolution time = 0.0009544361382722855 | Resolution type = None
Job 43: Waiting time = 4.830583930015564e-05 | Resolution time = 3.2685697078704834e-05 | Resolution type = Policy
Job 44: Waiting time = 0.0006889114156365395 | Resolution time = 0.000674789771437645 | Resolution type = None
Job 45: Waiting time = 0.0009873583912849426 | Resolution time = 0.0009721387177705765 | Resolution type = None
Job 46: Waiting time = 0.0007093297317624092 | Resolution time = 0.0006942963227629662 | Resolution type = Policy
Job 47: Waiting time = 0.0007418496534228325 | Resolution time = 0.000727824866771698 | Resolution type = Policy
Job 48: Waiting time = 0.00040987879037857056 | Resolution time = 0.0003928598016500473 | Resolution type = Policy
Job 49: Waiting time = 0.00021129101514816284 | Resolution time = 0.00019743572920560837 | Resolution type = Policy
Job 50: Waiting time = 0.0005998788401484489 | Resolution time = 0.0005863653495907784 | Resolution type = Policy
Job 51: Waiting time = 0.00035655219107866287 | Resolution time = 0.0003447188064455986 | Resolution type = Policy
Job 52: Waiting time = 0.0010303398594260216 | Resolution time = 0.0010167472064495087 | Resolution type = None
Job 53: Waiting time = 0.000705178827047348 | Resolution time = 0.0006904797628521919 | Resolution type = None
Job 54: Waiting time = 0.0011757733300328255 | Resolution time = 0.0011435095220804214 | Resolution type = None
Job 55: Waiting time = 0.0011120811104774475 | Resolution time = 0.0010968446731567383 | Resolution type = None
