Job 1: Waiting time = 0.0010034581646323204 | Resolution time = 0.0009782807901501656 | Resolution type = Policy
Job 2: Waiting time = 0.0009373296052217484 | Resolution time = 0.0009185178205370903 | Resolution type = Policy
Job 3: Waiting time = 0.0015540188178420067 | Resolution time = 0.0015368089079856873 | Resolution type = None
Job 4: Waiting time = 0.0017354581505060196 | Resolution time = 0.0017154663801193237 | Resolution type = None
Job 5: Waiting time = 0.00027663540095090866 | Resolution time = 0.0002606399357318878 | Resolution type = Policy
Job 6: Waiting time = 0.00036135781556367874 | Resolution time = 0.00034492556005716324 | Resolution type = Policy
Job 7: Waiting time = 0.0017397422343492508 | Resolution time = 0.0017227157950401306 | Resolution type = None
Job 8: Waiting time = 0.0013475101441144943 | Resolution time = 0.0013296222314238548 | Resolution type = None
Job 9: Waiting time = 0.00018481258302927017 | Resolution time = 0.00016753096133470535 | Resolution type = Policy
Job 10: Waiting time = 0.00017690658569335938 | Resolution time = 0.00015924032777547836 | Resolution type = Policy
Job 11: Waiting time = 0.0008944915607571602 | Resolution time = 0.0007571522146463394 | Resolution type = Policy
Job 12: Waiting time = 0.001760711893439293 | Resolution time = 0.0017436519265174866 | Resolution type = None
Job 13: Waiting time = 0.0019216733053326607 | Resolution time = 0.001903025433421135 | Resolution type = None
Job 14: Waiting time = 0.0002568857744336128 | Resolution time = 0.0002409704029560089 | Resolution type = Policy

----- VACATION Started -----
Start time: 3.0002088006585836
Duration: 11.769475060515106
Jobs in the system: 59
------ VACATION ENDED ------

--- Normal Period 2 starts... ---
Job 15: Waiting time = 11.735697019845247 | Resolution time = 0.0015124287456274033 | Resolution type = None
Job 16: Waiting time = 11.546144681982696 | Resolution time = 0.0007452601566910744 | Resolution type = None
Job 17: Waiting time = 11.344254342839122 | Resolution time = 0.0006936248391866684 | Resolution type = None
Job 18: Waiting time = 11.138659958727658 | Resolution time = 0.0007197968661785126 | Resolution type = None
Job 19: Waiting time = 10.940915214829147 | Resolution time = 0.0007292060181498528 | Resolution type = None
Job 20: Waiting time = 10.753053164109588 | Resolution time = 0.0007292609661817551 | Resolution type = None
Job 21: Waiting time = 10.525018407031894 | Resolution time = 0.000730506144464016 | Resolution type = None
Job 22: Waiting time = 10.304068773984909 | Resolution time = 0.0006917892023921013 | Resolution type = None
Job 23: Waiting time = 10.081307020969689 | Resolution time = 0.0007344530895352364 | Resolution type = None
Job 24: Waiting time = 9.880373352207243 | Resolution time = 0.0007586274296045303 | Resolution type = None
Job 25: Waiting time = 9.68634025938809 | Resolution time = 0.0007206499576568604 | Resolution type = None
Job 26: Waiting time = 9.485344643704593 | Resolution time = 0.0006984230130910873 | Resolution type = None
Job 27: Waiting time = 9.274564977735281 | Resolution time = 0.0007250234484672546 | Resolution type = None
Job 28: Waiting time = 9.08191173709929 | Resolution time = 0.0007318714633584023 | Resolution type = None
Job 29: Waiting time = 8.86398836877197 | Resolution time = 0.0007254891097545624 | Resolution type = None
Job 30: Waiting time = 8.65222340170294 | Resolution time = 0.0006760125979781151 | Resolution type = None
Job 31: Waiting time = 8.455451330170035 | Resolution time = 0.0006885044276714325 | Resolution type = None
Job 32: Waiting time = 8.257535981014371 | Resolution time = 0.0006795851513743401 | Resolution type = None
Job 33: Waiting time = 8.077407653443515 | Resolution time = 0.0006685452535748482 | Resolution type = None
Job 34: Waiting time = 7.89453178178519 | Resolution time = 0.0006890855729579926 | Resolution type = None
Job 35: Waiting time = 7.676665056496859 | Resolution time = 0.0007132701575756073 | Resolution type = None
Job 36: Waiting time = 7.466511361300945 | Resolution time = 0.0006975037977099419 | Resolution type = None
Job 37: Waiting time = 7.249566248618066 | Resolution time = 0.0006900336593389511 | Resolution type = None
Job 38: Waiting time = 7.067827711813152 | Resolution time = 0.0007210653275251389 | Resolution type = None
Job 39: Waiting time = 6.870589191094041 | Resolution time = 0.0006748177111148834 | Resolution type = None
Job 40: Waiting time = 6.649400512687862 | Resolution time = 0.0007300237193703651 | Resolution type = None
