Job 1: Waiting time = 9.539537131786346e-05 | Resolution time = 8.60653817653656e-05 | Resolution type = None
Job 2: Waiting time = 9.665824472904205e-05 | Resolution time = 8.963793516159058e-05 | Resolution type = None
Job 3: Waiting time = 5.994364619255066e-05 | Resolution time = 5.412660539150238e-05 | Resolution type = None
Job 4: Waiting time = 6.369687616825104e-05 | Resolution time = 5.7631172239780426e-05 | Resolution type = None
Job 5: Waiting time = 8.178781718015671e-05 | Resolution time = 7.631350308656693e-05 | Resolution type = None
Job 6: Waiting time = 6.986316293478012e-05 | Resolution time = 6.403028964996338e-05 | Resolution type = None
Job 7: Waiting time = 6.878003478050232e-05 | Resolution time = 6.303656846284866e-05 | Resolution type = None
Job 8: Waiting time = 5.046650767326355e-05 | Resolution time = 4.5408494770526886e-05 | Resolution type = None
Job 9: Waiting time = 6.436370313167572e-05 | Resolution time = 4.5221298933029175e-05 | Resolution type = None
Job 10: Waiting time = 6.524752825498581e-05 | Resolution time = 6.014108657836914e-05 | Resolution type = None
Job 11: Waiting time = 5.2737072110176086e-05 | Resolution time = 4.755612462759018e-05 | Resolution type = None
Job 12: Waiting time = 5.033519119024277e-05 | Resolution time = 4.53311949968338e-05 | Resolution type = None
Job 13: Waiting time = 5.459412932395935e-05 | Resolution time = 4.9085356295108795e-05 | Resolution type = None
Job 14: Waiting time = 6.173644214868546e-05 | Resolution time = 5.675666034221649e-05 | Resolution type = None
Job 15: Waiting time = 6.638187915086746e-05 | Resolution time = 6.147753447294235e-05 | Resolution type = None
Job 16: Waiting time = 6.385799497365952e-05 | Resolution time = 5.8669596910476685e-05 | Resolution type = None
Job 17: Waiting time = 7.387902587652206e-05 | Resolution time = 6.757490336894989e-05 | Resolution type = None
Job 18: Waiting time = 7.787719368934631e-05 | Resolution time = 6.975233554840088e-05 | Resolution type = None
Job 19: Waiting time = 6.929785013198853e-05 | Resolution time = 6.221700459718704e-05 | Resolution type = None
Job 20: Waiting time = 6.071757525205612e-05 | Resolution time = 5.524512380361557e-05 | Resolution type = None
Job 21: Waiting time = 6.766896694898605e-05 | Resolution time = 6.24731183052063e-05 | Resolution type = None
Job 22: Waiting time = 5.804840475320816e-05 | Resolution time = 5.258433520793915e-05 | Resolution type = None
Job 23: Waiting time = 5.15645369887352e-05 | Resolution time = 4.620477557182312e-05 | Resolution type = None
Job 24: Waiting time = 7.95908272266388e-05 | Resolution time = 7.389765232801437e-05 | Resolution type = None
Job 25: Waiting time = 5.030818283557892e-05 | Resolution time = 4.5141205191612244e-05 | Resolution type = None
Job 26: Waiting time = 5.998928099870682e-05 | Resolution time = 5.5145472288131714e-05 | Resolution type = None
Job 27: Waiting time = 6.058812141418457e-05 | Resolution time = 5.523674190044403e-05 | Resolution type = None
Job 28: Waiting time = 5.776621401309967e-05 | Resolution time = 5.2521005272865295e-05 | Resolution type = None
Job 29: Waiting time = 5.676131695508957e-05 | Resolution time = 5.166325718164444e-05 | Resolution type = None
Job 30: Waiting time = 7.411465048789978e-05 | Resolution time = 5.86165115237236e-05 | Resolution type = None
Job 31: Waiting time = 7.533002644777298e-05 | Resolution time = 6.0580670833587646e-05 | Resolution type = None
Job 32: Waiting time = 8.611008524894714e-05 | Resolution time = 7.154606282711029e-05 | Resolution type = None
Job 33: Waiting time = 6.332714110612869e-05 | Resolution time = 4.945695400238037e-05 | Resolution type = None
Job 34: Waiting time = 6.767362356185913e-05 | Resolution time = 5.4026953876018524e-05 | Resolution type = None
Job 35: Waiting time = 6.49522989988327e-05 | Resolution time = 5.128886550664902e-05 | Resolution type = None
Job 36: Waiting time = 0.00010066386312246323 | Resolution time = 8.639879524707794e-05 | Resolution type = None
Job 37: Waiting time = 8.94106924533844e-05 | Resolution time = 7.38333910703659e-05 | Resolution type = None
Job 38: Waiting time = 7.354840636253357e-05 | Resolution time = 5.967728793621063e-05 | Resolution type = None
Job 39: Waiting time = 7.677357643842697e-05 | Resolution time = 6.247870624065399e-05 | Resolution type = None
Job 40: Waiting time = 7.181800901889801e-05 | Resolution time = 5.93084841966629e-05 | Resolution type = None
Job 41: Waiting time = 9.024981409311295e-05 | Resolution time = 7.570534944534302e-05 | Resolution type = None
Job 42: Waiting time = 5.5924057960510254e-05 | Resolution time = 4.4034793972969055e-05 | Resolution type = None
Job 43: Waiting time = 7.449928671121597e-05 | Resolution time = 6.162840873003006e-05 | Resolution type = None
Job 44: Waiting time = 6.331969052553177e-05 | Resolution time = 4.9812719225883484e-05 | Resolution type = None
Job 45: Waiting time = 8.035916835069656e-05 | Resolution time = 6.644800305366516e-05 | Resolution type = None
Job 46: Waiting time = 7.876940071582794e-05 | Resolution time = 6.509292870759964e-05 | Resolution type = None
Job 47: Waiting time = 9.666290134191513e-05 | Resolution time = 7.854774594306946e-05 | Resolution type = None
Job 48: Waiting time = 7.648393511772156e-05 | Resolution time = 6.241817027330399e-05 | Resolution type = None
Job 49: Waiting time = 7.805041968822479e-05 | Resolution time = 6.0995109379291534e-05 | Resolution type = None
Job 50: Waiting time = 6.296765059232712e-05 | Resolution time = 4.890654236078262e-05 | Resolution type = None
Job 51: Waiting time = 7.314048707485199e-05 | Resolution time = 5.484279245138168e-05 | Resolution type = None
Job 52: Waiting time = 7.988419383764267e-05 | Resolution time = 6.585754454135895e-05 | Resolution type = None
Job 53: Waiting time = 6.604287773370743e-05 | Resolution time = 5.264300853013992e-05 | Resolution type = None
Job 54: Waiting time = 7.354747503995895e-05 | Resolution time = 5.855318158864975e-05 | Resolution type = None
Job 55: Waiting time = 6.294157356023788e-05 | Resolution time = 5.056988447904587e-05 | Resolution type = None
Job 56: Waiting time = 6.424635648727417e-05 | Resolution time = 5.095731467008591e-05 | Resolution type = None
Job 57: Waiting time = 8.039642125368118e-05 | Resolution time = 6.679072976112366e-05 | Resolution type = None
Job 58: Waiting time = 9.3802809715271e-05 | Resolution time = 7.7834352850914e-05 | Resolution type = None
Job 59: Waiting time = 6.460398435592651e-05 | Resolution time = 5.0283968448638916e-05 | Resolution type = None
Job 60: Waiting time = 0.00010549183934926987 | Resolution time = 8.531101047992706e-05 | Resolution type = None
Job 61: Waiting time = 8.916296064853668e-05 | Resolution time = 7.688160985708237e-05 | Resolution type = None
