Job 1: Waiting time = 0.00011890009045600891 | Resolution time = 9.314436465501785e-05 | Resolution type = None
Job 2: Waiting time = 0.0001135747879743576 | Resolution time = 9.293481707572937e-05 | Resolution type = None
Job 3: Waiting time = 9.435229003429413e-05 | Resolution time = 8.072052150964737e-05 | Resolution type = None
Job 4: Waiting time = 0.00012353528290987015 | Resolution time = 0.0001101810485124588 | Resolution type = None
Job 5: Waiting time = 9.840819984674454e-05 | Resolution time = 8.464604616165161e-05 | Resolution type = None
Job 6: Waiting time = 8.227024227380753e-05 | Resolution time = 6.739329546689987e-05 | Resolution type = None
Job 7: Waiting time = 6.28279522061348e-05 | Resolution time = 4.970282316207886e-05 | Resolution type = None
Job 8: Waiting time = 9.345356374979019e-05 | Resolution time = 6.60289078950882e-05 | Resolution type = None
Job 9: Waiting time = 7.089972496032715e-05 | Resolution time = 5.765538662672043e-05 | Resolution type = None
Job 10: Waiting time = 8.759181946516037e-05 | Resolution time = 7.388181984424591e-05 | Resolution type = None
Job 11: Waiting time = 8.627213537693024e-05 | Resolution time = 7.099844515323639e-05 | Resolution type = None
Job 12: Waiting time = 6.632227450609207e-05 | Resolution time = 5.077477544546127e-05 | Resolution type = None
Job 13: Waiting time = 8.607842028141022e-05 | Resolution time = 7.05961138010025e-05 | Resolution type = None
Job 14: Waiting time = 7.488671690225601e-05 | Resolution time = 6.245821714401245e-05 | Resolution type = None
Job 15: Waiting time = 7.18114897608757e-05 | Resolution time = 5.893222987651825e-05 | Resolution type = None
Job 16: Waiting time = 8.621346205472946e-05 | Resolution time = 7.224082946777344e-05 | Resolution type = None
Job 17: Waiting time = 6.632041186094284e-05 | Resolution time = 5.269143730401993e-05 | Resolution type = None
Job 18: Waiting time = 8.111447095870972e-05 | Resolution time = 6.470642983913422e-05 | Resolution type = None
Job 19: Waiting time = 5.690287798643112e-05 | Resolution time = 4.351232200860977e-05 | Resolution type = None
Job 20: Waiting time = 6.488431245088577e-05 | Resolution time = 5.04152849316597e-05 | Resolution type = None
Job 21: Waiting time = 8.311308920383453e-05 | Resolution time = 6.82855024933815e-05 | Resolution type = None
Job 22: Waiting time = 9.87853854894638e-05 | Resolution time = 8.298084139823914e-05 | Resolution type = None
Job 23: Waiting time = 0.0001076236367225647 | Resolution time = 9.261071681976318e-05 | Resolution type = None
Job 24: Waiting time = 8.080154657363892e-05 | Resolution time = 6.736442446708679e-05 | Resolution type = None
Job 25: Waiting time = 6.608478724956512e-05 | Resolution time = 5.1738694310188293e-05 | Resolution type = None
Job 26: Waiting time = 6.707198917865753e-05 | Resolution time = 4.85740602016449e-05 | Resolution type = None
Job 27: Waiting time = 0.00010276120156049728 | Resolution time = 8.862745016813278e-05 | Resolution type = None
Job 28: Waiting time = 7.574819028377533e-05 | Resolution time = 6.104167550802231e-05 | Resolution type = None
Job 29: Waiting time = 7.975567132234573e-05 | Resolution time = 6.44708052277565e-05 | Resolution type = None
Job 30: Waiting time = 6.444752216339111e-05 | Resolution time = 4.970189183950424e-05 | Resolution type = None
Job 31: Waiting time = 8.724629878997803e-05 | Resolution time = 7.38026574254036e-05 | Resolution type = None
Job 32: Waiting time = 9.670387953519821e-05 | Resolution time = 6.461422890424728e-05 | Resolution type = None
Job 33: Waiting time = 7.969792932271957e-05 | Resolution time = 6.605032831430435e-05 | Resolution type = None
Job 34: Waiting time = 8.560251444578171e-05 | Resolution time = 6.894953548908234e-05 | Resolution type = None
Job 35: Waiting time = 7.076561450958252e-05 | Resolution time = 5.731172859668732e-05 | Resolution type = None
Job 36: Waiting time = 9.123887866735458e-05 | Resolution time = 7.495004683732986e-05 | Resolution type = None
Job 37: Waiting time = 0.0001050606369972229 | Resolution time = 8.972641080617905e-05 | Resolution type = None
Job 38: Waiting time = 6.845593452453613e-05 | Resolution time = 5.455315113067627e-05 | Resolution type = None
Job 39: Waiting time = 8.42781737446785e-05 | Resolution time = 7.188506424427032e-05 | Resolution type = None
Job 40: Waiting time = 8.868053555488586e-05 | Resolution time = 7.086340337991714e-05 | Resolution type = None
Job 41: Waiting time = 0.00010578799992799759 | Resolution time = 8.922163397073746e-05 | Resolution type = None
Job 42: Waiting time = 8.259713649749756e-05 | Resolution time = 6.846804171800613e-05 | Resolution type = None
