Job 1: Waiting time = 0.00019494350999593735 | Resolution time = 0.00017204228788614273 | Resolution type = None
Job 2: Waiting time = 0.00012625101953744888 | Resolution time = 0.00010382290929555893 | Resolution type = None
Job 3: Waiting time = 9.798631072044373e-05 | Resolution time = 8.408632129430771e-05 | Resolution type = None
Job 4: Waiting time = 0.00010562688112258911 | Resolution time = 7.266271859407425e-05 | Resolution type = None
Job 5: Waiting time = 0.00013561733067035675 | Resolution time = 3.7750229239463806e-05 | Resolution type = None
Job 6: Waiting time = 0.00010771863162517548 | Resolution time = 9.151548147201538e-05 | Resolution type = None
Job 7: Waiting time = 8.745957165956497e-05 | Resolution time = 7.356423884630203e-05 | Resolution type = None
Job 8: Waiting time = 7.95368105173111e-05 | Resolution time = 5.302298814058304e-05 | Resolution type = None
Job 9: Waiting time = 7.682293653488159e-05 | Resolution time = 6.253458559513092e-05 | Resolution type = None
Job 10: Waiting time = 8.736457675695419e-05 | Resolution time = 7.245782762765884e-05 | Resolution type = None
Job 11: Waiting time = 0.0001194588840007782 | Resolution time = 8.873641490936279e-05 | Resolution type = None
Job 12: Waiting time = 0.00018008891493082047 | Resolution time = 6.684567779302597e-05 | Resolution type = None
Job 13: Waiting time = 8.005183190107346e-05 | Resolution time = 6.649363785982132e-05 | Resolution type = None
Job 14: Waiting time = 7.830001413822174e-05 | Resolution time = 6.57225027680397e-05 | Resolution type = None
Job 15: Waiting time = 7.81714916229248e-05 | Resolution time = 6.417278200387955e-05 | Resolution type = None
Job 16: Waiting time = 8.182600140571594e-05 | Resolution time = 6.81830570101738e-05 | Resolution type = None
Job 17: Waiting time = 6.656628102064133e-05 | Resolution time = 5.333777517080307e-05 | Resolution type = None
Job 18: Waiting time = 8.96574929356575e-05 | Resolution time = 7.3261559009552e-05 | Resolution type = None
Job 19: Waiting time = 7.153395563364029e-05 | Resolution time = 5.614105612039566e-05 | Resolution type = None
Job 20: Waiting time = 0.00010016001760959625 | Resolution time = 8.545722812414169e-05 | Resolution type = None
Job 21: Waiting time = 0.00011122878640890121 | Resolution time = 9.392108768224716e-05 | Resolution type = None
Job 22: Waiting time = 8.021574467420578e-05 | Resolution time = 6.755907088518143e-05 | Resolution type = None
Job 23: Waiting time = 9.748619049787521e-05 | Resolution time = 8.156243711709976e-05 | Resolution type = None
Job 24: Waiting time = 7.714889943599701e-05 | Resolution time = 6.43320381641388e-05 | Resolution type = None
Job 25: Waiting time = 0.00011423137038946152 | Resolution time = 9.688083082437515e-05 | Resolution type = None
Job 26: Waiting time = 9.661633521318436e-05 | Resolution time = 8.071865886449814e-05 | Resolution type = None
Job 27: Waiting time = 8.299481123685837e-05 | Resolution time = 6.778910756111145e-05 | Resolution type = None
Job 28: Waiting time = 8.365698158740997e-05 | Resolution time = 6.835907697677612e-05 | Resolution type = None
Job 29: Waiting time = 9.489618241786957e-05 | Resolution time = 6.934255361557007e-05 | Resolution type = None
Job 30: Waiting time = 8.458644151687622e-05 | Resolution time = 6.877817213535309e-05 | Resolution type = None
Job 31: Waiting time = 8.301343768835068e-05 | Resolution time = 6.85323029756546e-05 | Resolution type = None
Job 32: Waiting time = 0.00011637434363365173 | Resolution time = 0.00010134465992450714 | Resolution type = None
