Job 1: Waiting time = 0.0001639062538743019 | Resolution time = 0.00014525651931762695 | Resolution type = None
Job 2: Waiting time = 0.00021706707775592804 | Resolution time = 0.00020031724125146866 | Resolution type = None
Job 3: Waiting time = 0.00014411937445402145 | Resolution time = 0.00012909062206745148 | Resolution type = None
Job 4: Waiting time = 0.00017170049250125885 | Resolution time = 0.0001579243689775467 | Resolution type = None
Job 5: Waiting time = 0.00015937909483909607 | Resolution time = 0.00014383066445589066 | Resolution type = None
Job 6: Waiting time = 0.0003376724198460579 | Resolution time = 0.000212046317756176 | Resolution type = None
Job 7: Waiting time = 0.0003291172906756401 | Resolution time = 0.0002011321485042572 | Resolution type = None
Job 8: Waiting time = 0.00018978118896484375 | Resolution time = 0.00017277058213949203 | Resolution type = None
Job 9: Waiting time = 0.00023068394511938095 | Resolution time = 0.00021601375192403793 | Resolution type = None
Job 10: Waiting time = 0.00023224204778671265 | Resolution time = 0.00021426472812891006 | Resolution type = None
Job 11: Waiting time = 0.00024259835481643677 | Resolution time = 0.00022808276116847992 | Resolution type = None
Job 12: Waiting time = 0.0002441480755805969 | Resolution time = 0.00022930186241865158 | Resolution type = None
Job 13: Waiting time = 0.0002491651102900505 | Resolution time = 0.00023146532475948334 | Resolution type = None
Job 14: Waiting time = 0.0003774752840399742 | Resolution time = 0.00026185251772403717 | Resolution type = None

----- VACATION Started -----
Start time: 3.0002079475671053
Duration: 11.909709447994828
Jobs in the system: 59
------ VACATION ENDED ------

--- Normal Period 2 starts... ---
Job 15: Waiting time = 11.850407471880317 | Resolution time = 0.001740747131407261 | Resolution type = None
Job 16: Waiting time = 11.64870866201818 | Resolution time = 0.0016808751970529556 | Resolution type = None
Job 17: Waiting time = 11.445331485942006 | Resolution time = 0.0006423396989703178 | Resolution type = None
Job 18: Waiting time = 11.229395347647369 | Resolution time = 0.0007111895829439163 | Resolution type = None
Job 19: Waiting time = 11.018073131330311 | Resolution time = 0.0006844867020845413 | Resolution type = None
Job 20: Waiting time = 10.803747122175992 | Resolution time = 0.0017489120364189148 | Resolution type = None
Job 21: Waiting time = 10.613612993620336 | Resolution time = 0.0006643990054726601 | Resolution type = None
Job 22: Waiting time = 10.435380892828107 | Resolution time = 0.0006536291912198067 | Resolution type = None
Job 23: Waiting time = 10.24726917874068 | Resolution time = 0.0016747862100601196 | Resolution type = None
Job 24: Waiting time = 10.044341498985887 | Resolution time = 0.0006355792284011841 | Resolution type = None
Job 25: Waiting time = 9.842458909377456 | Resolution time = 0.0007042111828923225 | Resolution type = None
Job 26: Waiting time = 9.626729865558445 | Resolution time = 0.0006606746464967728 | Resolution type = None
Job 27: Waiting time = 9.44588643219322 | Resolution time = 0.0006504300981760025 | Resolution type = None
Job 28: Waiting time = 9.259356184862554 | Resolution time = 0.00096131581813097 | Resolution type = None
Job 29: Waiting time = 9.047907615080476 | Resolution time = 0.0006258348003029823 | Resolution type = None
Job 30: Waiting time = 8.820821576751769 | Resolution time = 0.0006201006472110748 | Resolution type = None
Job 31: Waiting time = 8.61894194316119 | Resolution time = 0.0007221726700663567 | Resolution type = None
Job 32: Waiting time = 8.42843373119831 | Resolution time = 0.000649171881377697 | Resolution type = None
Job 33: Waiting time = 8.234675725921988 | Resolution time = 0.0006972029805183411 | Resolution type = None
Job 34: Waiting time = 8.00233644247055 | Resolution time = 0.0006403876468539238 | Resolution type = None
Job 35: Waiting time = 7.781534794718027 | Resolution time = 0.0006536925211548805 | Resolution type = None
Job 36: Waiting time = 7.594572811387479 | Resolution time = 0.0006822329014539719 | Resolution type = None
Job 37: Waiting time = 7.396749008446932 | Resolution time = 0.0006740503013134003 | Resolution type = None
Job 38: Waiting time = 7.202742614783347 | Resolution time = 0.0006913626566529274 | Resolution type = None
Job 39: Waiting time = 7.00260123051703 | Resolution time = 0.0006926730275154114 | Resolution type = None
Job 40: Waiting time = 6.794559918344021 | Resolution time = 0.0005582049489021301 | Resolution type = None
Job 41: Waiting time = 6.582518660463393 | Resolution time = 0.0005727214738726616 | Resolution type = None
Job 42: Waiting time = 6.397248524241149 | Resolution time = 0.0006041945889592171 | Resolution type = None
Job 43: Waiting time = 6.217113755643368 | Resolution time = 0.0006622085347771645 | Resolution type = None
Job 44: Waiting time = 6.0160887921229005 | Resolution time = 0.0006701238453388214 | Resolution type = None
Job 45: Waiting time = 5.80254031252116 | Resolution time = 0.0006843581795692444 | Resolution type = None
Job 46: Waiting time = 5.600645685568452 | Resolution time = 0.0006323298439383507 | Resolution type = None
Job 47: Waiting time = 5.390039222314954 | Resolution time = 0.0005995472893118858 | Resolution type = None
Job 48: Waiting time = 5.195410567335784 | Resolution time = 0.0005994886159896851 | Resolution type = None
Job 49: Waiting time = 4.982982434332371 | Resolution time = 0.0005697812885046005 | Resolution type = None
Job 50: Waiting time = 4.787413710728288 | Resolution time = 0.0006351694464683533 | Resolution type = None
Job 51: Waiting time = 4.581541061401367 | Resolution time = 0.0006856834515929222 | Resolution type = None
Job 52: Waiting time = 4.353093348443508 | Resolution time = 0.0006466954946517944 | Resolution type = None
Job 53: Waiting time = 4.1841792510822415 | Resolution time = 0.0006525134667754173 | Resolution type = None
Job 54: Waiting time = 3.993291958235204 | Resolution time = 0.0006668278947472572 | Resolution type = None
Job 55: Waiting time = 3.7863949723541737 | Resolution time = 0.0006278781220316887 | Resolution type = None
