Job 1: Waiting time = 0.0001560719683766365 | Resolution time = 0.00013670045882463455 | Resolution type = None
Job 2: Waiting time = 0.00011475756764411926 | Resolution time = 9.742844849824905e-05 | Resolution type = None
Job 3: Waiting time = 0.00013620220124721527 | Resolution time = 0.00012253504246473312 | Resolution type = None
Job 4: Waiting time = 0.00013834144920110703 | Resolution time = 0.000125042162835598 | Resolution type = None
Job 5: Waiting time = 8.135661482810974e-05 | Resolution time = 6.907433271408081e-05 | Resolution type = None
Job 6: Waiting time = 9.758863598108292e-05 | Resolution time = 8.380506187677383e-05 | Resolution type = None
Job 7: Waiting time = 9.460840374231339e-05 | Resolution time = 8.103717118501663e-05 | Resolution type = None
Job 8: Waiting time = 0.00011731218546628952 | Resolution time = 0.00010445248335599899 | Resolution type = None
Job 9: Waiting time = 0.0001321369782090187 | Resolution time = 0.00010960828512907028 | Resolution type = None
Job 10: Waiting time = 0.00010592862963676453 | Resolution time = 9.381026029586792e-05 | Resolution type = None
Job 11: Waiting time = 0.00010907836258411407 | Resolution time = 9.320303797721863e-05 | Resolution type = None
Job 12: Waiting time = 8.839648216962814e-05 | Resolution time = 7.479451596736908e-05 | Resolution type = None
Job 13: Waiting time = 0.00011954177170991898 | Resolution time = 0.00010611861944198608 | Resolution type = None
Job 14: Waiting time = 0.00012366846203804016 | Resolution time = 0.00010898150503635406 | Resolution type = None
Job 15: Waiting time = 0.00010088365525007248 | Resolution time = 8.647143840789795e-05 | Resolution type = None
Job 16: Waiting time = 0.00014216173440217972 | Resolution time = 0.00012972764670848846 | Resolution type = None
Job 17: Waiting time = 0.00016630999743938446 | Resolution time = 0.00015301909297704697 | Resolution type = None
Job 18: Waiting time = 0.00011373497545719147 | Resolution time = 9.807758033275604e-05 | Resolution type = None
Job 19: Waiting time = 0.00013441778719425201 | Resolution time = 0.00011722743511199951 | Resolution type = None
Job 20: Waiting time = 0.00011299271136522293 | Resolution time = 9.888410568237305e-05 | Resolution type = None
Job 21: Waiting time = 0.00016922969371080399 | Resolution time = 0.00015506893396377563 | Resolution type = None
Job 22: Waiting time = 0.00010474026203155518 | Resolution time = 9.068194776773453e-05 | Resolution type = None
Job 23: Waiting time = 0.0001292061060667038 | Resolution time = 0.0001162877306342125 | Resolution type = None
Job 24: Waiting time = 0.00012229755520820618 | Resolution time = 0.00010908953845500946 | Resolution type = None
