Job 1: Waiting time = 9.877234697341919e-05 | Resolution time = 9.011104702949524e-05 | Resolution type = None
Job 2: Waiting time = 0.00011819787323474884 | Resolution time = 0.00010043289512395859 | Resolution type = None
Job 3: Waiting time = 0.00017383601516485214 | Resolution time = 5.455035716295242e-05 | Resolution type = None
Job 4: Waiting time = 6.667710840702057e-05 | Resolution time = 6.084330379962921e-05 | Resolution type = None
Job 5: Waiting time = 7.133837789297104e-05 | Resolution time = 6.433390080928802e-05 | Resolution type = None
Job 6: Waiting time = 6.12037256360054e-05 | Resolution time = 5.591288208961487e-05 | Resolution type = None
Job 7: Waiting time = 9.119044989347458e-05 | Resolution time = 7.794983685016632e-05 | Resolution type = None
Job 8: Waiting time = 8.53613018989563e-05 | Resolution time = 7.107667624950409e-05 | Resolution type = None
Job 9: Waiting time = 8.897203952074051e-05 | Resolution time = 7.342919707298279e-05 | Resolution type = None
Job 10: Waiting time = 8.873548358678818e-05 | Resolution time = 7.419660687446594e-05 | Resolution type = None
Job 11: Waiting time = 7.022172212600708e-05 | Resolution time = 5.722511559724808e-05 | Resolution type = None
Job 12: Waiting time = 8.150376379489899e-05 | Resolution time = 6.663613021373749e-05 | Resolution type = None
Job 13: Waiting time = 9.32430848479271e-05 | Resolution time = 8.053053170442581e-05 | Resolution type = None
Job 14: Waiting time = 0.00011533498764038086 | Resolution time = 0.00010161846876144409 | Resolution type = None
Job 15: Waiting time = 0.00010062754154205322 | Resolution time = 8.68355855345726e-05 | Resolution type = None
Job 16: Waiting time = 8.79727303981781e-05 | Resolution time = 7.402896881103516e-05 | Resolution type = None
Job 17: Waiting time = 7.947348058223724e-05 | Resolution time = 6.482098251581192e-05 | Resolution type = None
Job 18: Waiting time = 0.000219736248254776 | Resolution time = 0.00010913331061601639 | Resolution type = None
Job 19: Waiting time = 0.00010094605386257172 | Resolution time = 8.570309728384018e-05 | Resolution type = None
Job 20: Waiting time = 9.125936776399612e-05 | Resolution time = 7.656402885913849e-05 | Resolution type = None
Job 21: Waiting time = 7.36769288778305e-05 | Resolution time = 6.000325083732605e-05 | Resolution type = None
Job 22: Waiting time = 9.359791874885559e-05 | Resolution time = 8.041504770517349e-05 | Resolution type = None
Job 23: Waiting time = 8.636433631181717e-05 | Resolution time = 7.33574852347374e-05 | Resolution type = None
