Job 1: Waiting time = 0.0002236403524875641 | Resolution time = 0.0001081470400094986 | Resolution type = None
Job 2: Waiting time = 0.00023475103080272675 | Resolution time = 8.080527186393738e-05 | Resolution type = None
Job 3: Waiting time = 0.00020729564130306244 | Resolution time = 6.0743652284145355e-05 | Resolution type = None
Job 4: Waiting time = 8.143950253725052e-05 | Resolution time = 7.019005715847015e-05 | Resolution type = None
Job 5: Waiting time = 8.314941078424454e-05 | Resolution time = 7.11074098944664e-05 | Resolution type = None
Job 6: Waiting time = 7.301010191440582e-05 | Resolution time = 6.0121528804302216e-05 | Resolution type = None
Job 7: Waiting time = 8.690916001796722e-05 | Resolution time = 7.264874875545502e-05 | Resolution type = None
Job 8: Waiting time = 7.938221096992493e-05 | Resolution time = 6.566289812326431e-05 | Resolution type = None
Job 9: Waiting time = 0.00010019168257713318 | Resolution time = 6.336718797683716e-05 | Resolution type = None
Job 10: Waiting time = 0.0001520458608865738 | Resolution time = 6.539467722177505e-05 | Resolution type = None
Job 11: Waiting time = 9.862147271633148e-05 | Resolution time = 8.331332355737686e-05 | Resolution type = None
Job 12: Waiting time = 8.956901729106903e-05 | Resolution time = 7.656216621398926e-05 | Resolution type = None
Job 13: Waiting time = 7.830001413822174e-05 | Resolution time = 6.334297358989716e-05 | Resolution type = None
Job 14: Waiting time = 0.00013338681310415268 | Resolution time = 6.330478936433792e-05 | Resolution type = None
Job 15: Waiting time = 8.523650467395782e-05 | Resolution time = 7.151160389184952e-05 | Resolution type = None
Job 16: Waiting time = 9.261537343263626e-05 | Resolution time = 8.010677993297577e-05 | Resolution type = None
Job 17: Waiting time = 0.00010363943874835968 | Resolution time = 8.614268153905869e-05 | Resolution type = None
Job 18: Waiting time = 8.731149137020111e-05 | Resolution time = 7.327180355787277e-05 | Resolution type = None
Job 19: Waiting time = 0.0001054098829627037 | Resolution time = 9.25753265619278e-05 | Resolution type = None
Job 20: Waiting time = 0.00016160868108272552 | Resolution time = 7.239729166030884e-05 | Resolution type = None
Job 21: Waiting time = 0.00011252798140048981 | Resolution time = 8.343905210494995e-05 | Resolution type = None
Job 22: Waiting time = 0.00010028854012489319 | Resolution time = 8.548889309167862e-05 | Resolution type = None
Job 23: Waiting time = 7.500778883695602e-05 | Resolution time = 6.232038140296936e-05 | Resolution type = None
Job 24: Waiting time = 0.00010507460683584213 | Resolution time = 8.674710988998413e-05 | Resolution type = None
Job 25: Waiting time = 7.691886276006699e-05 | Resolution time = 6.362330168485641e-05 | Resolution type = None
Job 26: Waiting time = 9.814836084842682e-05 | Resolution time = 8.589029312133789e-05 | Resolution type = None
Job 27: Waiting time = 8.96751880645752e-05 | Resolution time = 7.682852447032928e-05 | Resolution type = None
Job 28: Waiting time = 8.5439532995224e-05 | Resolution time = 7.219705730676651e-05 | Resolution type = None
Job 29: Waiting time = 0.00010102242231369019 | Resolution time = 8.773151785135269e-05 | Resolution type = None
Job 30: Waiting time = 7.726810872554779e-05 | Resolution time = 6.516184657812119e-05 | Resolution type = None
Job 31: Waiting time = 9.914766997098923e-05 | Resolution time = 8.67629423737526e-05 | Resolution type = None
Job 32: Waiting time = 0.00010870210826396942 | Resolution time = 9.420234709978104e-05 | Resolution type = None
Job 33: Waiting time = 9.85385850071907e-05 | Resolution time = 8.307304233312607e-05 | Resolution type = None
Job 34: Waiting time = 8.280761539936066e-05 | Resolution time = 6.930343806743622e-05 | Resolution type = None
Job 35: Waiting time = 9.312573820352554e-05 | Resolution time = 7.889140397310257e-05 | Resolution type = None
Job 36: Waiting time = 0.00010266713798046112 | Resolution time = 8.781533688306808e-05 | Resolution type = None
Job 37: Waiting time = 0.0001148805022239685 | Resolution time = 9.90433618426323e-05 | Resolution type = None
Job 38: Waiting time = 0.00010572560131549835 | Resolution time = 9.247846901416779e-05 | Resolution type = None
Job 39: Waiting time = 0.0001563597470521927 | Resolution time = 0.00014373194426298141 | Resolution type = None
Job 40: Waiting time = 8.589215576648712e-05 | Resolution time = 7.247086614370346e-05 | Resolution type = None
Job 41: Waiting time = 0.00011513568460941315 | Resolution time = 0.00010093860328197479 | Resolution type = None
Job 42: Waiting time = 0.00010798871517181396 | Resolution time = 9.381864219903946e-05 | Resolution type = None
Job 43: Waiting time = 0.00011996738612651825 | Resolution time = 0.00010448228567838669 | Resolution type = None
Job 44: Waiting time = 9.651295840740204e-05 | Resolution time = 8.109211921691895e-05 | Resolution type = None
Job 45: Waiting time = 0.00010161567479372025 | Resolution time = 8.613988757133484e-05 | Resolution type = None
Job 46: Waiting time = 8.785631507635117e-05 | Resolution time = 7.554423063993454e-05 | Resolution type = None
Job 47: Waiting time = 9.144004434347153e-05 | Resolution time = 7.928349077701569e-05 | Resolution type = None
Job 48: Waiting time = 9.50908288359642e-05 | Resolution time = 8.130446076393127e-05 | Resolution type = None
Job 49: Waiting time = 0.0001341886818408966 | Resolution time = 0.00010799337178468704 | Resolution type = None
Job 50: Waiting time = 0.00012156181037425995 | Resolution time = 0.00010776985436677933 | Resolution type = None
Job 51: Waiting time = 9.049195796251297e-05 | Resolution time = 7.706880569458008e-05 | Resolution type = None
Job 52: Waiting time = 0.00010744575411081314 | Resolution time = 9.418558329343796e-05 | Resolution type = None
Job 53: Waiting time = 9.37068834900856e-05 | Resolution time = 8.062366396188736e-05 | Resolution type = None
Job 54: Waiting time = 0.00015302002429962158 | Resolution time = 0.00013740360736846924 | Resolution type = None
Job 55: Waiting time = 8.556898683309555e-05 | Resolution time = 7.60592520236969e-05 | Resolution type = None
Job 56: Waiting time = 0.0001008668914437294 | Resolution time = 8.71000811457634e-05 | Resolution type = None
Job 57: Waiting time = 8.697900921106339e-05 | Resolution time = 7.892679423093796e-05 | Resolution type = None
Job 58: Waiting time = 0.00011808890849351883 | Resolution time = 0.00010455586016178131 | Resolution type = None
Job 59: Waiting time = 0.00014573894441127777 | Resolution time = 0.0001310110092163086 | Resolution type = None
Job 60: Waiting time = 0.00010865647345781326 | Resolution time = 9.523238986730576e-05 | Resolution type = None
Job 61: Waiting time = 9.707175195217133e-05 | Resolution time = 8.519645780324936e-05 | Resolution type = None
Job 62: Waiting time = 0.00010510068386793137 | Resolution time = 9.297672659158707e-05 | Resolution type = None
Job 63: Waiting time = 0.00011616479605436325 | Resolution time = 9.969621896743774e-05 | Resolution type = None
Job 64: Waiting time = 0.00010090973228216171 | Resolution time = 8.745584636926651e-05 | Resolution type = None
Job 65: Waiting time = 0.00012685172259807587 | Resolution time = 0.00011189654469490051 | Resolution type = None
Job 66: Waiting time = 9.058695286512375e-05 | Resolution time = 7.961038500070572e-05 | Resolution type = None
Job 67: Waiting time = 0.00011333916336297989 | Resolution time = 0.00010071694850921631 | Resolution type = None
Job 68: Waiting time = 0.00014252960681915283 | Resolution time = 0.00012808851897716522 | Resolution type = None
Job 69: Waiting time = 0.00013563409447669983 | Resolution time = 0.00012223701924085617 | Resolution type = None
Job 70: Waiting time = 0.00011776294559240341 | Resolution time = 0.00010282173752784729 | Resolution type = None
Job 71: Waiting time = 0.00011332053691148758 | Resolution time = 0.00010010786354541779 | Resolution type = None
Job 72: Waiting time = 0.00021136924624443054 | Resolution time = 0.00011645909398794174 | Resolution type = None
Job 73: Waiting time = 0.00012165307998657227 | Resolution time = 0.00010927021503448486 | Resolution type = None
Job 74: Waiting time = 0.00013879034668207169 | Resolution time = 0.00012489315122365952 | Resolution type = None
Job 75: Waiting time = 0.00012845639139413834 | Resolution time = 0.00011408794671297073 | Resolution type = None
Job 76: Waiting time = 0.00010750722140073776 | Resolution time = 9.4657763838768e-05 | Resolution type = None
Job 77: Waiting time = 0.0001531420275568962 | Resolution time = 0.00012453459203243256 | Resolution type = None
Job 78: Waiting time = 0.00014507677406072617 | Resolution time = 0.00013070274144411087 | Resolution type = None
Job 79: Waiting time = 0.000119747593998909 | Resolution time = 0.00010594725608825684 | Resolution type = None
Job 80: Waiting time = 0.00014101620763540268 | Resolution time = 0.00012323260307312012 | Resolution type = None
Job 81: Waiting time = 0.00012066401541233063 | Resolution time = 0.00010737031698226929 | Resolution type = None
Job 82: Waiting time = 0.00010736845433712006 | Resolution time = 9.557511657476425e-05 | Resolution type = None
Job 83: Waiting time = 0.0001255245879292488 | Resolution time = 0.00010756682604551315 | Resolution type = None
Job 84: Waiting time = 0.0001536896452307701 | Resolution time = 0.00012696906924247742 | Resolution type = None
Job 85: Waiting time = 0.000131240114569664 | Resolution time = 0.00011911243200302124 | Resolution type = None
Job 86: Waiting time = 0.00012216810137033463 | Resolution time = 0.0001080147922039032 | Resolution type = None
Job 87: Waiting time = 0.00013659149408340454 | Resolution time = 0.0001226654276251793 | Resolution type = None
Job 88: Waiting time = 0.0001126416027545929 | Resolution time = 0.00010063312947750092 | Resolution type = None
Job 89: Waiting time = 0.00014267954975366592 | Resolution time = 0.00012907758355140686 | Resolution type = None
Job 90: Waiting time = 0.00014029908925294876 | Resolution time = 0.00012510642409324646 | Resolution type = None
Job 91: Waiting time = 0.00012218207120895386 | Resolution time = 0.00010783690959215164 | Resolution type = None
Job 92: Waiting time = 0.00017423927783966064 | Resolution time = 0.0001590913161635399 | Resolution type = None
Job 93: Waiting time = 0.0001299884170293808 | Resolution time = 0.0001163119450211525 | Resolution type = None
Job 94: Waiting time = 0.00012374669313430786 | Resolution time = 0.00010603945702314377 | Resolution type = None
