Job 1: Waiting time = 0.001099095679819584 | Resolution time = 0.0010869037359952927 | Resolution type = Policy
Job 2: Waiting time = 0.0013182051479816437 | Resolution time = 0.0013032415881752968 | Resolution type = None
Job 3: Waiting time = 0.0013076886534690857 | Resolution time = 0.0012997426092624664 | Resolution type = Policy
Job 4: Waiting time = 0.0016474034637212753 | Resolution time = 0.00163994450122118 | Resolution type = None
Job 5: Waiting time = 0.0011564819142222404 | Resolution time = 0.0011497866362333298 | Resolution type = None
Job 6: Waiting time = 0.001583998091518879 | Resolution time = 0.0015779528766870499 | Resolution type = None
Job 7: Waiting time = 0.0014176340773701668 | Resolution time = 0.0014111697673797607 | Resolution type = None
Job 8: Waiting time = 0.001284322701394558 | Resolution time = 0.0012705260887742043 | Resolution type = None
Job 9: Waiting time = 0.0015516187995672226 | Resolution time = 0.0015337057411670685 | Resolution type = None
Job 10: Waiting time = 0.001181386411190033 | Resolution time = 0.0011683357879519463 | Resolution type = None
Job 11: Waiting time = 0.0011487575247883797 | Resolution time = 0.001136421225965023 | Resolution type = None
Job 12: Waiting time = 0.0014814678579568863 | Resolution time = 0.0014667129144072533 | Resolution type = None
Job 13: Waiting time = 0.001155884936451912 | Resolution time = 0.0011398792266845703 | Resolution type = Policy
Job 14: Waiting time = 0.0014495840296149254 | Resolution time = 0.001436435617506504 | Resolution type = None
Job 15: Waiting time = 0.00039369426667690277 | Resolution time = 0.00037999264895915985 | Resolution type = Policy
Job 16: Waiting time = 0.0015853075310587883 | Resolution time = 0.0015701018273830414 | Resolution type = None
Job 17: Waiting time = 0.00016776379197835922 | Resolution time = 0.00015302840620279312 | Resolution type = Policy
Job 18: Waiting time = 0.00149605143815279 | Resolution time = 0.0014827828854322433 | Resolution type = None
Job 19: Waiting time = 0.0012999577447772026 | Resolution time = 0.0012860316783189774 | Resolution type = None
Job 20: Waiting time = 0.0013391487300395966 | Resolution time = 0.0013228058815002441 | Resolution type = None
Job 21: Waiting time = 0.001513688825070858 | Resolution time = 0.0013828054070472717 | Resolution type = Policy
Job 22: Waiting time = 0.0007512401789426804 | Resolution time = 0.0007357001304626465 | Resolution type = Policy
