Job 1: Waiting time = 0.00035697780549526215 | Resolution time = 0.0003484543412923813 | Resolution type = Policy
Job 2: Waiting time = 0.0013958653435111046 | Resolution time = 0.00138041190803051 | Resolution type = None
Job 3: Waiting time = 0.0009023640304803848 | Resolution time = 0.0008841920644044876 | Resolution type = None
Job 4: Waiting time = 0.0007087485864758492 | Resolution time = 0.0006941976025700569 | Resolution type = Policy
Job 5: Waiting time = 0.0005256002768874168 | Resolution time = 0.0005135331302881241 | Resolution type = Policy
Job 6: Waiting time = 0.000517641194164753 | Resolution time = 0.0005047190934419632 | Resolution type = Policy
Job 7: Waiting time = 0.0003657527267932892 | Resolution time = 0.00035073142498731613 | Resolution type = Policy
Job 8: Waiting time = 0.0007861033082008362 | Resolution time = 0.0007729530334472656 | Resolution type = None
Job 9: Waiting time = 0.00014610867947340012 | Resolution time = 0.0001336885616183281 | Resolution type = Policy
Job 10: Waiting time = 0.0012276694178581238 | Resolution time = 0.0012141736224293709 | Resolution type = None
Job 11: Waiting time = 0.0008464362472295761 | Resolution time = 0.0008054235950112343 | Resolution type = None
Job 12: Waiting time = 0.0008979979902505875 | Resolution time = 6.880145519971848e-05 | Resolution type = Policy
Job 13: Waiting time = 0.0012174872681498528 | Resolution time = 0.0012028953060507774 | Resolution type = None
Job 14: Waiting time = 0.0010135835036635399 | Resolution time = 0.0010012704879045486 | Resolution type = None
Job 15: Waiting time = 0.0009233374148607254 | Resolution time = 0.0009105261415243149 | Resolution type = Policy
Job 16: Waiting time = 0.0008295997977256775 | Resolution time = 0.0008153142407536507 | Resolution type = None
Job 17: Waiting time = 0.0005184849724173546 | Resolution time = 0.000504649244248867 | Resolution type = Policy
Job 18: Waiting time = 0.001182781532406807 | Resolution time = 0.0011693770065903664 | Resolution type = None
Job 19: Waiting time = 0.0006085122004151344 | Resolution time = 0.0005912147462368011 | Resolution type = Policy
Job 20: Waiting time = 0.0007197223603725433 | Resolution time = 0.0007048575207591057 | Resolution type = None
Job 21: Waiting time = 0.0010409792885184288 | Resolution time = 0.001026121899485588 | Resolution type = None
Job 22: Waiting time = 0.0010687587782740593 | Resolution time = 0.0010535567998886108 | Resolution type = None
Job 23: Waiting time = 0.00029680971056222916 | Resolution time = 0.000197569839656353 | Resolution type = Policy
Job 24: Waiting time = 0.0007511274889111519 | Resolution time = 0.0007377276197075844 | Resolution type = None
Job 25: Waiting time = 0.0008099013939499855 | Resolution time = 0.0007968023419380188 | Resolution type = Policy
Job 26: Waiting time = 0.0007385117933154106 | Resolution time = 0.000724046491086483 | Resolution type = None
Job 27: Waiting time = 0.00021357368677854538 | Resolution time = 0.00018604937940835953 | Resolution type = Policy
Job 28: Waiting time = 0.0007368503138422966 | Resolution time = 0.0007220851257443428 | Resolution type = None
Job 29: Waiting time = 0.0008259899914264679 | Resolution time = 0.0008136676624417305 | Resolution type = Policy
Job 30: Waiting time = 0.0007594535127282143 | Resolution time = 0.0007467875257134438 | Resolution type = None
Job 31: Waiting time = 0.0007422827184200287 | Resolution time = 0.0007193135097622871 | Resolution type = None
Job 32: Waiting time = 0.0010212017223238945 | Resolution time = 0.001005745492875576 | Resolution type = None
Job 33: Waiting time = 0.0010278616100549698 | Resolution time = 0.0010148575529456139 | Resolution type = None
Job 34: Waiting time = 0.000810869038105011 | Resolution time = 0.0007939189672470093 | Resolution type = None
Job 35: Waiting time = 0.0007039867341518402 | Resolution time = 0.000689416192471981 | Resolution type = None
Job 36: Waiting time = 0.0006037978455424309 | Resolution time = 0.0005897171795368195 | Resolution type = Policy
Job 37: Waiting time = 0.000308784656226635 | Resolution time = 0.0002948325127363205 | Resolution type = Policy
Job 38: Waiting time = 0.0007998766377568245 | Resolution time = 0.0007850369438529015 | Resolution type = None
Job 39: Waiting time = 0.0007498934864997864 | Resolution time = 0.0007339771836996078 | Resolution type = None
Job 40: Waiting time = 0.0007655834779143333 | Resolution time = 0.0007527004927396774 | Resolution type = None
Job 41: Waiting time = 0.0007196683436632156 | Resolution time = 0.0006972551345825195 | Resolution type = None
Job 42: Waiting time = 9.225960820913315e-05 | Resolution time = 7.87246972322464e-05 | Resolution type = Policy
Job 43: Waiting time = 0.0007528979331254959 | Resolution time = 0.0007389411330223083 | Resolution type = None
Job 44: Waiting time = 0.0011297091841697693 | Resolution time = 0.001115025021135807 | Resolution type = None
Job 45: Waiting time = 0.0011042281985282898 | Resolution time = 0.0010912399739027023 | Resolution type = None
Job 46: Waiting time = 9.523332118988037e-05 | Resolution time = 8.122250437736511e-05 | Resolution type = Policy
Job 47: Waiting time = 0.0002072816714644432 | Resolution time = 0.00018415041267871857 | Resolution type = Policy
Job 48: Waiting time = 0.0007629934698343277 | Resolution time = 0.0007490115240216255 | Resolution type = None
Job 49: Waiting time = 0.0004978757351636887 | Resolution time = 0.00048204977065324783 | Resolution type = Policy
Job 50: Waiting time = 0.0009583160281181335 | Resolution time = 0.0009442977607250214 | Resolution type = None
Job 51: Waiting time = 0.0007399888709187508 | Resolution time = 0.0007256548851728439 | Resolution type = Policy
Job 52: Waiting time = 0.000817970372736454 | Resolution time = 0.0008043637499213219 | Resolution type = None
Job 53: Waiting time = 0.00020600669085979462 | Resolution time = 0.00019174441695213318 | Resolution type = Policy
Job 54: Waiting time = 0.0006555086001753807 | Resolution time = 0.0006415499374270439 | Resolution type = Policy
Job 55: Waiting time = 0.0007573319599032402 | Resolution time = 0.0007437765598297119 | Resolution type = None
Job 56: Waiting time = 0.0007473770529031754 | Resolution time = 0.0007332749664783478 | Resolution type = None
Job 57: Waiting time = 0.0010573025792837143 | Resolution time = 0.001043940894305706 | Resolution type = None
Job 58: Waiting time = 0.00034525804221630096 | Resolution time = 0.0003311987966299057 | Resolution type = Policy
Job 59: Waiting time = 0.000433080829679966 | Resolution time = 0.0004200367256999016 | Resolution type = Policy
Job 60: Waiting time = 0.0008925078436732292 | Resolution time = 0.0008803606033325195 | Resolution type = None
Job 61: Waiting time = 0.0008119828999042511 | Resolution time = 0.0007976191118359566 | Resolution type = None
Job 62: Waiting time = 0.00032804813235998154 | Resolution time = 0.000315224751830101 | Resolution type = Policy
