Job 1: Waiting time = 0.00012295786291360855 | Resolution time = 9.94587317109108e-05 | Resolution type = None
Job 2: Waiting time = 0.00011173263192176819 | Resolution time = 9.626522660255432e-05 | Resolution type = None
Job 3: Waiting time = 9.861215949058533e-05 | Resolution time = 8.593127131462097e-05 | Resolution type = None
Job 4: Waiting time = 8.229445666074753e-05 | Resolution time = 6.84596598148346e-05 | Resolution type = None
Job 5: Waiting time = 9.512901306152344e-05 | Resolution time = 8.007977157831192e-05 | Resolution type = None
Job 6: Waiting time = 7.489696145057678e-05 | Resolution time = 6.136763840913773e-05 | Resolution type = None
Job 7: Waiting time = 9.517092257738113e-05 | Resolution time = 7.926672697067261e-05 | Resolution type = None
Job 8: Waiting time = 7.764622569084167e-05 | Resolution time = 6.548687815666199e-05 | Resolution type = None
Job 9: Waiting time = 8.82195308804512e-05 | Resolution time = 7.452629506587982e-05 | Resolution type = None
Job 10: Waiting time = 9.080115705728531e-05 | Resolution time = 7.702410221099854e-05 | Resolution type = None
Job 11: Waiting time = 0.00013820268213748932 | Resolution time = 9.18712466955185e-05 | Resolution type = None
Job 12: Waiting time = 0.0001957826316356659 | Resolution time = 6.486289203166962e-05 | Resolution type = None
Job 13: Waiting time = 9.931717067956924e-05 | Resolution time = 8.549261838197708e-05 | Resolution type = None
Job 14: Waiting time = 8.707400411367416e-05 | Resolution time = 7.572583854198456e-05 | Resolution type = None
Job 15: Waiting time = 0.0001619253307580948 | Resolution time = 6.131082773208618e-05 | Resolution type = None
Job 16: Waiting time = 9.998492896556854e-05 | Resolution time = 8.71606171131134e-05 | Resolution type = None
Job 17: Waiting time = 9.036343544721603e-05 | Resolution time = 7.524155080318451e-05 | Resolution type = None
Job 18: Waiting time = 9.177066385746002e-05 | Resolution time = 7.707253098487854e-05 | Resolution type = None
Job 19: Waiting time = 8.149910718202591e-05 | Resolution time = 6.671808660030365e-05 | Resolution type = None
Job 20: Waiting time = 0.00018225982785224915 | Resolution time = 8.815433830022812e-05 | Resolution type = None
Job 21: Waiting time = 0.00011950451880693436 | Resolution time = 0.00010575354099273682 | Resolution type = None
Job 22: Waiting time = 8.364114910364151e-05 | Resolution time = 7.000379264354706e-05 | Resolution type = None
Job 23: Waiting time = 7.916614413261414e-05 | Resolution time = 6.386172026395798e-05 | Resolution type = None
Job 24: Waiting time = 8.60048457980156e-05 | Resolution time = 7.113255560398102e-05 | Resolution type = None
Job 25: Waiting time = 6.693508476018906e-05 | Resolution time = 5.697086453437805e-05 | Resolution type = None
Job 26: Waiting time = 0.00012079067528247833 | Resolution time = 0.00010580569505691528 | Resolution type = None
Job 27: Waiting time = 0.000119844451546669 | Resolution time = 0.00010342523455619812 | Resolution type = None
Job 28: Waiting time = 9.382888674736023e-05 | Resolution time = 7.935892790555954e-05 | Resolution type = None
Job 29: Waiting time = 9.657815098762512e-05 | Resolution time = 8.130259811878204e-05 | Resolution type = None
Job 30: Waiting time = 9.984802454710007e-05 | Resolution time = 8.609797805547714e-05 | Resolution type = None
Job 31: Waiting time = 0.00010280869901180267 | Resolution time = 8.8447704911232e-05 | Resolution type = None
Job 32: Waiting time = 9.108521044254303e-05 | Resolution time = 7.68899917602539e-05 | Resolution type = None
Job 33: Waiting time = 8.230283856391907e-05 | Resolution time = 6.972160190343857e-05 | Resolution type = None
Job 34: Waiting time = 0.00010249391198158264 | Resolution time = 8.8532455265522e-05 | Resolution type = None
Job 35: Waiting time = 8.996762335300446e-05 | Resolution time = 7.784739136695862e-05 | Resolution type = None
Job 36: Waiting time = 0.00018555950373411179 | Resolution time = 9.297020733356476e-05 | Resolution type = None
Job 37: Waiting time = 0.00010312721133232117 | Resolution time = 8.929800242185593e-05 | Resolution type = None
Job 38: Waiting time = 9.446404874324799e-05 | Resolution time = 8.12634825706482e-05 | Resolution type = None
Job 39: Waiting time = 8.590798825025558e-05 | Resolution time = 7.20759853720665e-05 | Resolution type = None
