Job 1: Waiting time = 0.0013954597525298595 | Resolution time = 0.0013849958777427673 | Resolution type = None
Job 2: Waiting time = 0.0004179850220680237 | Resolution time = 0.00041033606976270676 | Resolution type = Policy
Job 3: Waiting time = 0.0011972109787166119 | Resolution time = 0.0011897212825715542 | Resolution type = None
Job 4: Waiting time = 0.0009092348627746105 | Resolution time = 0.0009021880105137825 | Resolution type = Policy
Job 5: Waiting time = 0.0011183521710336208 | Resolution time = 0.001111743040382862 | Resolution type = None
Job 6: Waiting time = 0.0004076198674738407 | Resolution time = 0.0004013609141111374 | Resolution type = Policy
Job 7: Waiting time = 0.00034196581691503525 | Resolution time = 0.000335953664034605 | Resolution type = Policy
Job 8: Waiting time = 0.0011693942360579967 | Resolution time = 0.0011625103652477264 | Resolution type = None
Job 9: Waiting time = 0.0011219233274459839 | Resolution time = 0.0011156685650348663 | Resolution type = None
Job 10: Waiting time = 0.0010881931520998478 | Resolution time = 0.0010819938033819199 | Resolution type = None
Job 11: Waiting time = 0.0010881787165999413 | Resolution time = 0.0010793977417051792 | Resolution type = None
Job 12: Waiting time = 0.0010651652701199055 | Resolution time = 0.0010579749941825867 | Resolution type = None
Job 13: Waiting time = 0.0011066258884966373 | Resolution time = 0.001099990215152502 | Resolution type = None
Job 14: Waiting time = 0.0005236160941421986 | Resolution time = 0.0005179359577596188 | Resolution type = Policy
Job 15: Waiting time = 0.00033018598333001137 | Resolution time = 0.00032451096922159195 | Resolution type = Policy
Job 16: Waiting time = 0.0008831210434436798 | Resolution time = 0.0008772518485784531 | Resolution type = Policy
Job 17: Waiting time = 0.001039132010191679 | Resolution time = 0.001031236257404089 | Resolution type = None
Job 18: Waiting time = 0.0002994663082063198 | Resolution time = 0.00029314029961824417 | Resolution type = Policy
Job 19: Waiting time = 0.0008411440066993237 | Resolution time = 0.0008343067020177841 | Resolution type = Policy
Job 20: Waiting time = 7.820501923561096e-05 | Resolution time = 7.16191716492176e-05 | Resolution type = Policy
Job 21: Waiting time = 0.0010768091306090355 | Resolution time = 0.001069982536137104 | Resolution type = None
Job 22: Waiting time = 0.0010668057948350906 | Resolution time = 0.0010595759376883507 | Resolution type = None
Job 23: Waiting time = 0.0005961693823337555 | Resolution time = 0.0005892668850719929 | Resolution type = Policy
Job 24: Waiting time = 0.00017183832824230194 | Resolution time = 0.00016524223610758781 | Resolution type = Policy
Job 25: Waiting time = 0.0012662531808018684 | Resolution time = 0.0012588920071721077 | Resolution type = None
Job 26: Waiting time = 0.0009599621407687664 | Resolution time = 0.000945516861975193 | Resolution type = Policy
Job 27: Waiting time = 0.001035412773489952 | Resolution time = 0.0010179933160543442 | Resolution type = Policy
Job 28: Waiting time = 0.000725611113011837 | Resolution time = 0.0007120892405509949 | Resolution type = Policy
Job 29: Waiting time = 0.0008151037618517876 | Resolution time = 0.0007974943146109581 | Resolution type = Policy
Job 30: Waiting time = 0.0010777730494737625 | Resolution time = 0.0010613230988383293 | Resolution type = None
Job 31: Waiting time = 0.001090330071747303 | Resolution time = 0.0010732370428740978 | Resolution type = None
Job 32: Waiting time = 0.0010243747383356094 | Resolution time = 0.0010078116320073605 | Resolution type = None
Job 33: Waiting time = 0.0003413842059671879 | Resolution time = 0.0003241416998207569 | Resolution type = Policy
Job 34: Waiting time = 0.0005704700015485287 | Resolution time = 0.0005547613836824894 | Resolution type = Policy
Job 35: Waiting time = 0.0011350451968610287 | Resolution time = 0.001119743101298809 | Resolution type = None
Job 36: Waiting time = 0.001146367285400629 | Resolution time = 0.001130630262196064 | Resolution type = None
Job 37: Waiting time = 0.00073954276740551 | Resolution time = 0.0007238178513944149 | Resolution type = Policy
Job 38: Waiting time = 0.0005003800615668297 | Resolution time = 0.00048628635704517365 | Resolution type = Policy
Job 39: Waiting time = 0.0006330059841275215 | Resolution time = 0.0006102379411458969 | Resolution type = Policy
Job 40: Waiting time = 0.00013688905164599419 | Resolution time = 0.00011981697753071785 | Resolution type = Policy
Job 41: Waiting time = 0.0012709172442555428 | Resolution time = 0.0012528500519692898 | Resolution type = None
Job 42: Waiting time = 0.0012068720534443855 | Resolution time = 0.0011902437545359135 | Resolution type = None
Job 43: Waiting time = 0.0011821342632174492 | Resolution time = 0.0011676158756017685 | Resolution type = None
Job 44: Waiting time = 0.0008735302835702896 | Resolution time = 0.0008533368818461895 | Resolution type = Policy
Job 45: Waiting time = 0.0005620419979095459 | Resolution time = 0.000547933392226696 | Resolution type = Policy
Job 46: Waiting time = 0.0006728521548211575 | Resolution time = 0.0006537050940096378 | Resolution type = Policy
Job 47: Waiting time = 0.0013440879993140697 | Resolution time = 0.0013279197737574577 | Resolution type = None
Job 48: Waiting time = 0.0008128918707370758 | Resolution time = 0.0007961122319102287 | Resolution type = Policy
Job 49: Waiting time = 9.595789015293121e-05 | Resolution time = 7.88331963121891e-05 | Resolution type = Policy
Job 50: Waiting time = 0.0006482740864157677 | Resolution time = 0.0006335177458822727 | Resolution type = Policy
Job 51: Waiting time = 0.0005551250651478767 | Resolution time = 0.000540649052709341 | Resolution type = Policy
Job 52: Waiting time = 0.0012813867069780827 | Resolution time = 0.0012502474710345268 | Resolution type = None
Job 53: Waiting time = 0.0007163961417973042 | Resolution time = 0.00070221908390522 | Resolution type = Policy
Job 54: Waiting time = 0.0005550971254706383 | Resolution time = 0.0005391980521380901 | Resolution type = Policy
Job 55: Waiting time = 0.0013597151264548302 | Resolution time = 0.001340098213404417 | Resolution type = None
Job 56: Waiting time = 0.0011157332919538021 | Resolution time = 0.0010946448892354965 | Resolution type = None
Job 57: Waiting time = 0.0004413491114974022 | Resolution time = 0.00042592501267790794 | Resolution type = Policy
Job 58: Waiting time = 0.00014855386689305305 | Resolution time = 0.00013375002890825272 | Resolution type = Policy
Job 59: Waiting time = 0.0008363197557628155 | Resolution time = 0.0008225096389651299 | Resolution type = Policy
Job 60: Waiting time = 0.0009554657153785229 | Resolution time = 0.0009388080798089504 | Resolution type = Policy
Job 61: Waiting time = 0.0010963263921439648 | Resolution time = 0.001070322934538126 | Resolution type = None
Job 62: Waiting time = 0.000814393162727356 | Resolution time = 0.0007970142178237438 | Resolution type = Policy
Job 63: Waiting time = 0.00028866808861494064 | Resolution time = 0.00027451012283563614 | Resolution type = Policy
Job 64: Waiting time = 0.00010180985555052757 | Resolution time = 7.594330236315727e-05 | Resolution type = Policy
Job 65: Waiting time = 5.7445839047431946e-05 | Resolution time = 4.479801282286644e-05 | Resolution type = Policy
Job 66: Waiting time = 0.0012210509739816189 | Resolution time = 0.0012046312913298607 | Resolution type = None
Job 67: Waiting time = 0.0010987138375639915 | Resolution time = 0.0010835849680006504 | Resolution type = None
Job 68: Waiting time = 0.0010815402492880821 | Resolution time = 0.0010654553771018982 | Resolution type = None
Job 69: Waiting time = 0.00036373408511281013 | Resolution time = 0.00034876540303230286 | Resolution type = Policy
Job 70: Waiting time = 0.0012960121966898441 | Resolution time = 0.0012786807492375374 | Resolution type = None
Job 71: Waiting time = 0.0004186960868537426 | Resolution time = 0.00039446866139769554 | Resolution type = Policy
Job 72: Waiting time = 0.0005182032473385334 | Resolution time = 0.0005019749514758587 | Resolution type = Policy
Job 73: Waiting time = 0.0013986029662191868 | Resolution time = 0.0013795271515846252 | Resolution type = None
Job 74: Waiting time = 0.0012077400460839272 | Resolution time = 0.0011825920082628727 | Resolution type = None
Job 75: Waiting time = 0.00018485775217413902 | Resolution time = 0.0001668049953877926 | Resolution type = Policy
