Job 1: Waiting time = 0.0003199120983481407 | Resolution time = 0.00030979281291365623 | Resolution type = Policy
Job 2: Waiting time = 0.00014751357957720757 | Resolution time = 0.00014095613732933998 | Resolution type = Policy
Job 3: Waiting time = 8.263112977147102e-05 | Resolution time = 7.739057764410973e-05 | Resolution type = Policy
Job 4: Waiting time = 0.0007729972712695599 | Resolution time = 0.0007672109641134739 | Resolution type = Policy
Job 5: Waiting time = 0.001578476745635271 | Resolution time = 0.001569167710840702 | Resolution type = None
Job 6: Waiting time = 0.001405911985784769 | Resolution time = 0.0013984250836074352 | Resolution type = None
Job 7: Waiting time = 0.0010613519698381424 | Resolution time = 0.001056173350661993 | Resolution type = None
Job 8: Waiting time = 0.00043038884177803993 | Resolution time = 0.00041462527588009834 | Resolution type = Policy
Job 9: Waiting time = 0.0015613390132784843 | Resolution time = 0.0011301799677312374 | Resolution type = None
Job 10: Waiting time = 0.000808431301265955 | Resolution time = 0.0008029323071241379 | Resolution type = Policy
Job 11: Waiting time = 0.0021710069850087166 | Resolution time = 0.002160963136702776 | Resolution type = None
Job 12: Waiting time = 0.0011663283221423626 | Resolution time = 0.0011608321219682693 | Resolution type = None
Job 13: Waiting time = 0.0003736061044037342 | Resolution time = 0.00036807917058467865 | Resolution type = Policy
Job 14: Waiting time = 0.0006617959588766098 | Resolution time = 0.0006560306064784527 | Resolution type = Policy
Job 15: Waiting time = 0.000951272901147604 | Resolution time = 0.000945783220231533 | Resolution type = Policy
Job 16: Waiting time = 0.0012347758747637272 | Resolution time = 0.0012287972494959831 | Resolution type = None
Job 17: Waiting time = 0.0004461817443370819 | Resolution time = 0.0004398878663778305 | Resolution type = Policy
Job 18: Waiting time = 0.00039021391421556473 | Resolution time = 0.00038394704461097717 | Resolution type = Policy
Job 19: Waiting time = 0.0009911730885505676 | Resolution time = 0.0009636841714382172 | Resolution type = Policy
Job 20: Waiting time = 0.0009836489334702492 | Resolution time = 0.0009677009657025337 | Resolution type = Policy
Job 21: Waiting time = 0.0005127252079546452 | Resolution time = 0.0004959753714501858 | Resolution type = Policy
Job 22: Waiting time = 0.0011730347760021687 | Resolution time = 0.0011557061225175858 | Resolution type = None
