Job 1: Waiting time = 0.00011029699817299843 | Resolution time = 9.996024891734123e-05 | Resolution type = Policy
Job 2: Waiting time = 0.0012297178618609905 | Resolution time = 0.0012217899784445763 | Resolution type = Policy
Job 3: Waiting time = 0.0012183957733213902 | Resolution time = 0.0012099361047148705 | Resolution type = None
Job 4: Waiting time = 0.0003675590269267559 | Resolution time = 0.0003619990311563015 | Resolution type = Policy
Job 5: Waiting time = 0.001024732831865549 | Resolution time = 0.0010192012414336205 | Resolution type = Policy
Job 6: Waiting time = 0.0010263011790812016 | Resolution time = 0.0010192068293690681 | Resolution type = None
Job 7: Waiting time = 0.0010537630878388882 | Resolution time = 0.0010471288114786148 | Resolution type = None
Job 8: Waiting time = 0.0002548191696405411 | Resolution time = 0.00020937388762831688 | Resolution type = Policy
Job 9: Waiting time = 0.000663277693092823 | Resolution time = 0.0006578308530151844 | Resolution type = Policy
Job 10: Waiting time = 0.0009539271704852581 | Resolution time = 0.0009479159489274025 | Resolution type = Policy
Job 11: Waiting time = 0.00038889702409505844 | Resolution time = 0.00038343993946909904 | Resolution type = Policy
Job 12: Waiting time = 0.0011665751226246357 | Resolution time = 0.0011604977771639824 | Resolution type = None
Job 13: Waiting time = 0.0008272407576441765 | Resolution time = 0.0007598372176289558 | Resolution type = Policy
Job 14: Waiting time = 0.0006474168039858341 | Resolution time = 0.0006415829993784428 | Resolution type = Policy
Job 15: Waiting time = 0.0012216689065098763 | Resolution time = 0.001214571762830019 | Resolution type = None
Job 16: Waiting time = 0.0011676936410367489 | Resolution time = 0.0011609760113060474 | Resolution type = None
Job 17: Waiting time = 0.00014846120029687881 | Resolution time = 0.00012869806960225105 | Resolution type = Policy
Job 18: Waiting time = 0.00040641799569129944 | Resolution time = 0.00026187626644968987 | Resolution type = Policy
Job 19: Waiting time = 0.0005097789689898491 | Resolution time = 0.0005035363137722015 | Resolution type = Policy
Job 20: Waiting time = 0.00020385067909955978 | Resolution time = 0.0001939353533089161 | Resolution type = Policy
Job 21: Waiting time = 0.00035105179995298386 | Resolution time = 0.00034491298720240593 | Resolution type = Policy
Job 22: Waiting time = 0.0011898246593773365 | Resolution time = 0.0011833691969513893 | Resolution type = None
Job 23: Waiting time = 0.0006779730319976807 | Resolution time = 0.0006718980148434639 | Resolution type = Policy
Job 24: Waiting time = 0.001111211720854044 | Resolution time = 0.0011052284389734268 | Resolution type = None
Job 25: Waiting time = 0.0010701287537813187 | Resolution time = 0.0010636928491294384 | Resolution type = None
Job 26: Waiting time = 0.0010334537364542484 | Resolution time = 0.0010274099186062813 | Resolution type = None
Job 27: Waiting time = 0.0006161918863654137 | Resolution time = 0.000610587652772665 | Resolution type = Policy
Job 28: Waiting time = 0.001041571144014597 | Resolution time = 0.0010349559597671032 | Resolution type = None
Job 29: Waiting time = 0.0006616562604904175 | Resolution time = 0.0005828230641782284 | Resolution type = Policy
Job 30: Waiting time = 0.0011649047955870628 | Resolution time = 0.0011412659659981728 | Resolution type = None
Job 31: Waiting time = 0.0010402565822005272 | Resolution time = 0.0010144771076738834 | Resolution type = None
Job 32: Waiting time = 0.0006774351932108402 | Resolution time = 0.0006605270318686962 | Resolution type = Policy
Job 33: Waiting time = 0.0005422187969088554 | Resolution time = 0.000517925713211298 | Resolution type = Policy
Job 34: Waiting time = 0.0006732498295605183 | Resolution time = 0.0006576096639037132 | Resolution type = Policy
Job 35: Waiting time = 0.0011498592793941498 | Resolution time = 0.0011358540505170822 | Resolution type = None
Job 36: Waiting time = 0.0011353096924722195 | Resolution time = 0.0011031599715352058 | Resolution type = None
Job 37: Waiting time = 0.00019093509763479233 | Resolution time = 0.00016044778749346733 | Resolution type = Policy
Job 38: Waiting time = 0.0006312890909612179 | Resolution time = 0.0006167762912809849 | Resolution type = Policy
