Job 1: Waiting time = 0.0001830579712986946 | Resolution time = 6.979051977396011e-05 | Resolution type = None
Job 2: Waiting time = 4.5321881771087646e-05 | Resolution time = 2.9504764825105667e-05 | Resolution type = None
Job 3: Waiting time = 3.542611375451088e-05 | Resolution time = 2.215895801782608e-05 | Resolution type = None
Job 4: Waiting time = 3.2033771276474e-05 | Resolution time = 1.9342638552188873e-05 | Resolution type = None
Job 5: Waiting time = 4.816986620426178e-05 | Resolution time = 3.4691765904426575e-05 | Resolution type = None
Job 6: Waiting time = 3.1070318073034286e-05 | Resolution time = 1.7679762095212936e-05 | Resolution type = None
Job 7: Waiting time = 5.4356642067432404e-05 | Resolution time = 4.1884370148181915e-05 | Resolution type = None
Job 8: Waiting time = 6.324797868728638e-05 | Resolution time = 5.016522482037544e-05 | Resolution type = None
Job 9: Waiting time = 5.662068724632263e-05 | Resolution time = 4.373770207166672e-05 | Resolution type = None
Job 10: Waiting time = 3.0360184609889984e-05 | Resolution time = 1.6905833035707474e-05 | Resolution type = None
Job 11: Waiting time = 7.22808763384819e-05 | Resolution time = 5.7332683354616165e-05 | Resolution type = None
Job 12: Waiting time = 3.3114105463027954e-05 | Resolution time = 1.8488150089979172e-05 | Resolution type = None
Job 13: Waiting time = 6.642192602157593e-05 | Resolution time = 5.224160850048065e-05 | Resolution type = None
Job 14: Waiting time = 3.027264028787613e-05 | Resolution time = 1.6833189874887466e-05 | Resolution type = None
Job 15: Waiting time = 4.9462076276540756e-05 | Resolution time = 3.6809127777814865e-05 | Resolution type = None
Job 16: Waiting time = 6.192130967974663e-05 | Resolution time = 4.699314013123512e-05 | Resolution type = None
Job 17: Waiting time = 3.412412479519844e-05 | Resolution time = 1.8450897186994553e-05 | Resolution type = None
Job 18: Waiting time = 3.8129743188619614e-05 | Resolution time = 2.1875835955142975e-05 | Resolution type = None
Job 19: Waiting time = 5.870312452316284e-05 | Resolution time = 4.618987441062927e-05 | Resolution type = None
Job 20: Waiting time = 5.473801866173744e-05 | Resolution time = 4.1835010051727295e-05 | Resolution type = None
Job 21: Waiting time = 6.190035492181778e-05 | Resolution time = 4.964601248502731e-05 | Resolution type = None
Job 22: Waiting time = 3.836909309029579e-05 | Resolution time = 2.377619966864586e-05 | Resolution type = None
Job 23: Waiting time = 3.0174851417541504e-05 | Resolution time = 1.6012229025363922e-05 | Resolution type = None
Job 24: Waiting time = 6.292108446359634e-05 | Resolution time = 3.9528124034404755e-05 | Resolution type = None
Job 25: Waiting time = 2.9928982257843018e-05 | Resolution time = 1.4952849596738815e-05 | Resolution type = None
Job 26: Waiting time = 5.8137811720371246e-05 | Resolution time = 3.934511914849281e-05 | Resolution type = None
Job 27: Waiting time = 3.8576312363147736e-05 | Resolution time = 2.5539658963680267e-05 | Resolution type = None
Job 28: Waiting time = 3.971904516220093e-05 | Resolution time = 2.780091017484665e-05 | Resolution type = None
Job 29: Waiting time = 3.2063107937574387e-05 | Resolution time = 1.814262941479683e-05 | Resolution type = None
Job 30: Waiting time = 5.6726858019828796e-05 | Resolution time = 4.360359162092209e-05 | Resolution type = None
Job 31: Waiting time = 4.1011255234479904e-05 | Resolution time = 1.5127472579479218e-05 | Resolution type = None
Job 32: Waiting time = 9.730830788612366e-05 | Resolution time = 8.083367720246315e-05 | Resolution type = None
Job 33: Waiting time = 0.0001720110885798931 | Resolution time = 4.499591886997223e-05 | Resolution type = None
Job 34: Waiting time = 3.685802221298218e-05 | Resolution time = 2.307584509253502e-05 | Resolution type = None
Job 35: Waiting time = 7.642712444067001e-05 | Resolution time = 6.1756931245327e-05 | Resolution type = None
Job 36: Waiting time = 6.873393431305885e-05 | Resolution time = 5.4951757192611694e-05 | Resolution type = None
Job 37: Waiting time = 4.612002521753311e-05 | Resolution time = 3.275088965892792e-05 | Resolution type = None
Job 38: Waiting time = 5.5664218962192535e-05 | Resolution time = 3.663776442408562e-05 | Resolution type = None
Job 39: Waiting time = 6.418908014893532e-05 | Resolution time = 4.9116089940071106e-05 | Resolution type = None
Job 40: Waiting time = 8.191308006644249e-05 | Resolution time = 6.734300404787064e-05 | Resolution type = None
Job 41: Waiting time = 6.406474858522415e-05 | Resolution time = 5.157897248864174e-05 | Resolution type = None
Job 42: Waiting time = 4.8276036977767944e-05 | Resolution time = 2.3608095943927765e-05 | Resolution type = None
Job 43: Waiting time = 9.678071364760399e-05 | Resolution time = 7.938873022794724e-05 | Resolution type = None
Job 44: Waiting time = 5.4145697504282e-05 | Resolution time = 3.856373950839043e-05 | Resolution type = None
Job 45: Waiting time = 3.504520282149315e-05 | Resolution time = 2.1778512746095657e-05 | Resolution type = None
Job 46: Waiting time = 6.752694025635719e-05 | Resolution time = 5.329027771949768e-05 | Resolution type = None
Job 47: Waiting time = 5.6718941777944565e-05 | Resolution time = 4.216982051730156e-05 | Resolution type = None
Job 48: Waiting time = 5.3456053137779236e-05 | Resolution time = 3.909086808562279e-05 | Resolution type = None
Job 49: Waiting time = 3.341911360621452e-05 | Resolution time = 2.0759180188179016e-05 | Resolution type = None
Job 50: Waiting time = 0.00010532885789871216 | Resolution time = 8.893106132745743e-05 | Resolution type = None
Job 51: Waiting time = 3.578094765543938e-05 | Resolution time = 2.236897125840187e-05 | Resolution type = None
Job 52: Waiting time = 7.121078670024872e-05 | Resolution time = 5.690706893801689e-05 | Resolution type = None
Job 53: Waiting time = 4.616100341081619e-05 | Resolution time = 2.7482397854328156e-05 | Resolution type = None
Job 54: Waiting time = 6.0241203755140305e-05 | Resolution time = 4.811631515622139e-05 | Resolution type = None
Job 55: Waiting time = 6.930110976099968e-05 | Resolution time = 5.362788215279579e-05 | Resolution type = None
Job 56: Waiting time = 8.281227201223373e-05 | Resolution time = 6.82976096868515e-05 | Resolution type = None
Job 57: Waiting time = 3.4588854759931564e-05 | Resolution time = 2.0743347704410553e-05 | Resolution type = None
Job 58: Waiting time = 6.175506860017776e-05 | Resolution time = 4.528369754552841e-05 | Resolution type = None
Job 59: Waiting time = 3.3907126635313034e-05 | Resolution time = 1.9845087081193924e-05 | Resolution type = None
Job 60: Waiting time = 3.707408905029297e-05 | Resolution time = 2.209329977631569e-05 | Resolution type = None
Job 61: Waiting time = 7.144734263420105e-05 | Resolution time = 5.83035871386528e-05 | Resolution type = None
Job 62: Waiting time = 3.505591303110123e-05 | Resolution time = 2.0909123122692108e-05 | Resolution type = None
Job 63: Waiting time = 6.339140236377716e-05 | Resolution time = 4.8310961574316025e-05 | Resolution type = None
Job 64: Waiting time = 8.15046951174736e-05 | Resolution time = 6.61313533782959e-05 | Resolution type = None
Job 65: Waiting time = 3.585871309041977e-05 | Resolution time = 2.1517276763916016e-05 | Resolution type = None
Job 66: Waiting time = 8.538411930203438e-05 | Resolution time = 5.751475691795349e-05 | Resolution type = None
Job 67: Waiting time = 5.724327638745308e-05 | Resolution time = 4.379311576485634e-05 | Resolution type = None
Job 68: Waiting time = 0.00022371578961610794 | Resolution time = 6.596464663743973e-05 | Resolution type = None
Job 69: Waiting time = 5.662115290760994e-05 | Resolution time = 3.99341806769371e-05 | Resolution type = None
Job 70: Waiting time = 8.303625509142876e-05 | Resolution time = 6.758468225598335e-05 | Resolution type = None
Job 71: Waiting time = 6.120791658759117e-05 | Resolution time = 4.496518522500992e-05 | Resolution type = None
Job 72: Waiting time = 7.318099960684776e-05 | Resolution time = 5.8753881603479385e-05 | Resolution type = None
Job 73: Waiting time = 6.078742444515228e-05 | Resolution time = 4.8312824219465256e-05 | Resolution type = None
Job 74: Waiting time = 7.967697456479073e-05 | Resolution time = 4.764320328831673e-05 | Resolution type = None
Job 75: Waiting time = 6.509292870759964e-05 | Resolution time = 5.197850987315178e-05 | Resolution type = None
Job 76: Waiting time = 6.925826892256737e-05 | Resolution time = 4.6597328037023544e-05 | Resolution type = None
Job 77: Waiting time = 4.9975235015153885e-05 | Resolution time = 3.577210009098053e-05 | Resolution type = None
Job 78: Waiting time = 5.533313378691673e-05 | Resolution time = 4.102615639567375e-05 | Resolution type = None
Job 79: Waiting time = 6.652530282735825e-05 | Resolution time = 5.331076681613922e-05 | Resolution type = None
Job 80: Waiting time = 5.297688767313957e-05 | Resolution time = 2.9811635613441467e-05 | Resolution type = None
Job 81: Waiting time = 3.561563789844513e-05 | Resolution time = 2.115592360496521e-05 | Resolution type = None
Job 82: Waiting time = 4.1863881051540375e-05 | Resolution time = 2.8517097234725952e-05 | Resolution type = None
Job 83: Waiting time = 4.1954685002565384e-05 | Resolution time = 2.775713801383972e-05 | Resolution type = None
Job 84: Waiting time = 5.446420982480049e-05 | Resolution time = 4.194350913167e-05 | Resolution type = None
Job 85: Waiting time = 4.704901948571205e-05 | Resolution time = 2.4908222258090973e-05 | Resolution type = None
Job 86: Waiting time = 4.0918122977018356e-05 | Resolution time = 2.6609748601913452e-05 | Resolution type = None
