Job 1: Waiting time = 5.639903247356415e-05 | Resolution time = 4.732469096779823e-05 | Resolution type = None
Job 2: Waiting time = 8.743489161133766e-05 | Resolution time = 7.960107177495956e-05 | Resolution type = None
Job 3: Waiting time = 4.471186548471451e-05 | Resolution time = 3.932276740670204e-05 | Resolution type = None
Job 4: Waiting time = 5.069980397820473e-05 | Resolution time = 4.527345299720764e-05 | Resolution type = None
Job 5: Waiting time = 2.1931249648332596e-05 | Resolution time = 1.6559846699237823e-05 | Resolution type = None
Job 6: Waiting time = 4.547787830233574e-05 | Resolution time = 3.952020779252052e-05 | Resolution type = None
Job 7: Waiting time = 5.1105860620737076e-05 | Resolution time = 4.5707449316978455e-05 | Resolution type = None
Job 8: Waiting time = 2.0754989236593246e-05 | Resolution time = 1.5764497220516205e-05 | Resolution type = None
Job 9: Waiting time = 3.9536040276288986e-05 | Resolution time = 3.425590693950653e-05 | Resolution type = None
Job 10: Waiting time = 2.0704232156276703e-05 | Resolution time = 1.5139114111661911e-05 | Resolution type = None
Job 11: Waiting time = 2.1152198314666748e-05 | Resolution time = 1.5399418771266937e-05 | Resolution type = None
Job 12: Waiting time = 4.643294960260391e-05 | Resolution time = 4.1049905121326447e-05 | Resolution type = None
Job 13: Waiting time = 5.329400300979614e-05 | Resolution time = 4.816614091396332e-05 | Resolution type = None
Job 14: Waiting time = 2.222927287220955e-05 | Resolution time = 1.6456935554742813e-05 | Resolution type = None
Job 15: Waiting time = 3.982800990343094e-05 | Resolution time = 3.415904939174652e-05 | Resolution type = None
Job 16: Waiting time = 2.1924730390310287e-05 | Resolution time = 1.5809200704097748e-05 | Resolution type = None
Job 17: Waiting time = 4.1326042264699936e-05 | Resolution time = 3.5526230931282043e-05 | Resolution type = None
Job 18: Waiting time = 5.257176235318184e-05 | Resolution time = 4.689302295446396e-05 | Resolution type = None
Job 19: Waiting time = 4.35863621532917e-05 | Resolution time = 3.740889951586723e-05 | Resolution type = None
Job 20: Waiting time = 4.550209268927574e-05 | Resolution time = 3.974372521042824e-05 | Resolution type = None
Job 21: Waiting time = 4.347506910562515e-05 | Resolution time = 3.754720091819763e-05 | Resolution type = None
Job 22: Waiting time = 4.7748908400535583e-05 | Resolution time = 4.192115738987923e-05 | Resolution type = None
Job 23: Waiting time = 6.152922287583351e-05 | Resolution time = 5.542021244764328e-05 | Resolution type = None
