Job 1: Waiting time = 0.00012680981308221817 | Resolution time = 0.00010537030175328255 | Resolution type = None
Job 2: Waiting time = 0.0001356690190732479 | Resolution time = 0.00011754408478736877 | Resolution type = None
Job 3: Waiting time = 0.00013987626880407333 | Resolution time = 0.00012359023094177246 | Resolution type = None
Job 4: Waiting time = 0.00013831211254000664 | Resolution time = 0.00012292386963963509 | Resolution type = None
Job 5: Waiting time = 0.00015320070087909698 | Resolution time = 0.00013717962428927422 | Resolution type = None
Job 6: Waiting time = 0.00018259510397911072 | Resolution time = 0.00016502384096384048 | Resolution type = None
Job 7: Waiting time = 0.0001648319885134697 | Resolution time = 0.00014710985124111176 | Resolution type = None
Job 8: Waiting time = 0.00016729626804590225 | Resolution time = 0.00015069032087922096 | Resolution type = None
Job 9: Waiting time = 0.00020670006051659584 | Resolution time = 0.0001917034387588501 | Resolution type = None
Job 10: Waiting time = 0.0001912349835038185 | Resolution time = 0.00017339037731289864 | Resolution type = None
Job 11: Waiting time = 0.0002269148826599121 | Resolution time = 0.00021026702597737312 | Resolution type = None
Job 12: Waiting time = 0.00026846397668123245 | Resolution time = 0.0002533113583922386 | Resolution type = None
Job 13: Waiting time = 0.0002724211663007736 | Resolution time = 0.00025632791221141815 | Resolution type = None
Job 14: Waiting time = 0.00024764658883213997 | Resolution time = 0.00022924086079001427 | Resolution type = None

----- VACATION Started -----
Start time: 3.000218969769776
Duration: 12.187886183150113
Jobs in the system: 60
------ VACATION ENDED ------

--- Normal Period 2 starts... ---
Job 15: Waiting time = 12.055588569957763 | Resolution time = 0.0015822560526430607 | Resolution type = None
Job 16: Waiting time = 11.859223304316401 | Resolution time = 0.0007188613526523113 | Resolution type = None
Job 17: Waiting time = 11.652014512103051 | Resolution time = 0.0006559258326888084 | Resolution type = None
Job 18: Waiting time = 11.45140748238191 | Resolution time = 0.0006220689974725246 | Resolution type = None
Job 19: Waiting time = 11.252611219882965 | Resolution time = 0.000633658841252327 | Resolution type = None
