Job 1: Waiting time = 0.00011144299060106277 | Resolution time = 0.00010089483112096786 | Resolution type = None
Job 2: Waiting time = 9.157322347164154e-05 | Resolution time = 7.748696953058243e-05 | Resolution type = None
Job 3: Waiting time = 3.9454083889722824e-05 | Resolution time = 3.373529762029648e-05 | Resolution type = None
Job 4: Waiting time = 9.754113852977753e-05 | Resolution time = 9.167008101940155e-05 | Resolution type = None
Job 5: Waiting time = 7.231021299958229e-05 | Resolution time = 6.625475361943245e-05 | Resolution type = None
Job 6: Waiting time = 0.00011431891471147537 | Resolution time = 0.00010793004184961319 | Resolution type = None
Job 7: Waiting time = 4.419591277837753e-05 | Resolution time = 3.7375837564468384e-05 | Resolution type = None
Job 8: Waiting time = 0.00018854718655347824 | Resolution time = 0.00011570844799280167 | Resolution type = None
Job 9: Waiting time = 0.00024196691811084747 | Resolution time = 6.597209721803665e-05 | Resolution type = None
Job 10: Waiting time = 0.000264075119048357 | Resolution time = 4.9427617341279984e-05 | Resolution type = None
Job 11: Waiting time = 6.927084177732468e-05 | Resolution time = 5.576014518737793e-05 | Resolution type = None
Job 12: Waiting time = 8.80206935107708e-05 | Resolution time = 7.3219183832407e-05 | Resolution type = None
Job 13: Waiting time = 0.00011586491018533707 | Resolution time = 0.00010096561163663864 | Resolution type = None
Job 14: Waiting time = 7.961597293615341e-05 | Resolution time = 6.595253944396973e-05 | Resolution type = None
Job 15: Waiting time = 8.476991206407547e-05 | Resolution time = 6.967410445213318e-05 | Resolution type = None
Job 16: Waiting time = 6.439210847020149e-05 | Resolution time = 4.8945192247629166e-05 | Resolution type = None
Job 17: Waiting time = 0.00011624675244092941 | Resolution time = 0.00010144989937543869 | Resolution type = None
Job 18: Waiting time = 7.074419409036636e-05 | Resolution time = 5.5477023124694824e-05 | Resolution type = None
Job 19: Waiting time = 0.00010310299694538116 | Resolution time = 8.894922211766243e-05 | Resolution type = None
Job 20: Waiting time = 0.00011721299961209297 | Resolution time = 0.00010032719001173973 | Resolution type = None
Job 21: Waiting time = 7.156794890761375e-05 | Resolution time = 5.564000457525253e-05 | Resolution type = None
Job 22: Waiting time = 0.00012059789150953293 | Resolution time = 0.00010565994307398796 | Resolution type = None
Job 23: Waiting time = 0.00022677099332213402 | Resolution time = 8.290447294712067e-05 | Resolution type = None
Job 24: Waiting time = 6.926478818058968e-05 | Resolution time = 5.310727283358574e-05 | Resolution type = None
Job 25: Waiting time = 8.345907554030418e-05 | Resolution time = 6.630970165133476e-05 | Resolution type = None
Job 26: Waiting time = 0.00011292006820440292 | Resolution time = 9.765755385160446e-05 | Resolution type = None
Job 27: Waiting time = 8.127372711896896e-05 | Resolution time = 6.374996155500412e-05 | Resolution type = None
Job 28: Waiting time = 0.00022461917251348495 | Resolution time = 9.756116196513176e-05 | Resolution type = None
Job 29: Waiting time = 0.00013405922800302505 | Resolution time = 0.00011900626122951508 | Resolution type = None
Job 30: Waiting time = 0.0001692674122750759 | Resolution time = 0.0001517944037914276 | Resolution type = None
Job 31: Waiting time = 8.053099736571312e-05 | Resolution time = 6.529968231916428e-05 | Resolution type = None
Job 32: Waiting time = 7.948093116283417e-05 | Resolution time = 6.345100700855255e-05 | Resolution type = None
Job 33: Waiting time = 0.0001791589893400669 | Resolution time = 7.116096094250679e-05 | Resolution type = None
Job 34: Waiting time = 0.00010302988812327385 | Resolution time = 8.89711081981659e-05 | Resolution type = None
Job 35: Waiting time = 0.00010022381320595741 | Resolution time = 7.333885878324509e-05 | Resolution type = None
Job 36: Waiting time = 0.00013947533443570137 | Resolution time = 0.00010581221431493759 | Resolution type = None
Job 37: Waiting time = 0.00011509796604514122 | Resolution time = 9.886408224701881e-05 | Resolution type = None
Job 38: Waiting time = 0.00022041099146008492 | Resolution time = 0.00012201163917779922 | Resolution type = None
Job 39: Waiting time = 0.0001372336409986019 | Resolution time = 0.00012011593207716942 | Resolution type = None
Job 40: Waiting time = 0.00010169995948672295 | Resolution time = 7.99223780632019e-05 | Resolution type = None
Job 41: Waiting time = 0.00012237997725605965 | Resolution time = 0.00010836077854037285 | Resolution type = None
Job 42: Waiting time = 0.0001377500593662262 | Resolution time = 0.00012173596769571304 | Resolution type = None
Job 43: Waiting time = 0.00022383220493793488 | Resolution time = 9.18535515666008e-05 | Resolution type = None
Job 44: Waiting time = 9.246310219168663e-05 | Resolution time = 7.412489503622055e-05 | Resolution type = None
Job 45: Waiting time = 0.00015482492744922638 | Resolution time = 0.0001282980665564537 | Resolution type = None
Job 46: Waiting time = 9.02470201253891e-05 | Resolution time = 7.520103827118874e-05 | Resolution type = None
Job 47: Waiting time = 0.0001938450150191784 | Resolution time = 9.138695895671844e-05 | Resolution type = None
Job 48: Waiting time = 0.00016472162678837776 | Resolution time = 0.00013658218085765839 | Resolution type = None
Job 49: Waiting time = 0.00016363570466637611 | Resolution time = 0.00014574220404028893 | Resolution type = None
Job 50: Waiting time = 0.000134982168674469 | Resolution time = 0.00011893827468156815 | Resolution type = None
Job 51: Waiting time = 0.00015566404908895493 | Resolution time = 0.00014146463945508003 | Resolution type = None
Job 52: Waiting time = 9.670481085777283e-05 | Resolution time = 9.016832336783409e-05 | Resolution type = None
Job 53: Waiting time = 9.462470188736916e-05 | Resolution time = 8.853757753968239e-05 | Resolution type = None
Job 54: Waiting time = 0.0001305188052356243 | Resolution time = 0.00012396881356835365 | Resolution type = None
Job 55: Waiting time = 0.00011644000187516212 | Resolution time = 0.0001103859394788742 | Resolution type = None
Job 56: Waiting time = 8.993921801447868e-05 | Resolution time = 8.418271318078041e-05 | Resolution type = None
Job 57: Waiting time = 0.00012139091268181801 | Resolution time = 0.00011535082012414932 | Resolution type = None
Job 58: Waiting time = 0.00011993106454610825 | Resolution time = 0.00011395569890737534 | Resolution type = None
Job 59: Waiting time = 9.752297773957253e-05 | Resolution time = 9.109871461987495e-05 | Resolution type = None
Job 60: Waiting time = 9.906617924571037e-05 | Resolution time = 9.189080446958542e-05 | Resolution type = None
Job 61: Waiting time = 0.00017536384984850883 | Resolution time = 0.0001666126772761345 | Resolution type = None
Job 62: Waiting time = 0.00012769270688295364 | Resolution time = 0.00012170476838946342 | Resolution type = None
Job 63: Waiting time = 0.0001017269678413868 | Resolution time = 9.577954187989235e-05 | Resolution type = None
Job 64: Waiting time = 9.817024692893028e-05 | Resolution time = 9.243609383702278e-05 | Resolution type = None
Job 65: Waiting time = 0.00014247838407754898 | Resolution time = 0.0001364322379231453 | Resolution type = None
Job 66: Waiting time = 0.00012439675629138947 | Resolution time = 0.00010843714699149132 | Resolution type = None
Job 67: Waiting time = 0.0001688757911324501 | Resolution time = 0.00015460699796676636 | Resolution type = None
Job 68: Waiting time = 0.00012630177661776543 | Resolution time = 0.00010944809764623642 | Resolution type = None
Job 69: Waiting time = 0.00014536920934915543 | Resolution time = 0.0001307232305407524 | Resolution type = None
Job 70: Waiting time = 0.00016881199553608894 | Resolution time = 0.00015204399824142456 | Resolution type = None
Job 71: Waiting time = 0.00015131011605262756 | Resolution time = 0.000134211964905262 | Resolution type = None
Job 72: Waiting time = 0.0001240139827132225 | Resolution time = 0.00011181971058249474 | Resolution type = None
Job 73: Waiting time = 0.00026632286608219147 | Resolution time = 0.00015453295782208443 | Resolution type = None
Job 74: Waiting time = 0.00019462499767541885 | Resolution time = 0.00018085213378071785 | Resolution type = None
Job 75: Waiting time = 0.00017738202586770058 | Resolution time = 0.00016255397349596024 | Resolution type = None
Job 76: Waiting time = 0.0001439359039068222 | Resolution time = 0.00012822309508919716 | Resolution type = None
Job 77: Waiting time = 0.0002446388825774193 | Resolution time = 0.00023070815950632095 | Resolution type = None
Job 78: Waiting time = 0.00014061573892831802 | Resolution time = 0.00012607499957084656 | Resolution type = None
Job 79: Waiting time = 0.00011881394311785698 | Resolution time = 0.0001033577136695385 | Resolution type = None
Job 80: Waiting time = 0.00020975293591618538 | Resolution time = 0.00019505666568875313 | Resolution type = None
Job 81: Waiting time = 0.00012177228927612305 | Resolution time = 0.00010673608630895615 | Resolution type = None
Job 82: Waiting time = 0.0001259027048945427 | Resolution time = 0.00010974286124110222 | Resolution type = None
Job 83: Waiting time = 0.0001453608274459839 | Resolution time = 0.0001302710734307766 | Resolution type = None
Job 84: Waiting time = 0.0002409880980849266 | Resolution time = 0.00012906640768051147 | Resolution type = None
Job 85: Waiting time = 0.00014430005103349686 | Resolution time = 0.0001293392851948738 | Resolution type = None
Job 86: Waiting time = 0.0001628766767680645 | Resolution time = 0.00014796806499361992 | Resolution type = None
Job 87: Waiting time = 0.00012878794223070145 | Resolution time = 0.00011534988880157471 | Resolution type = None
Job 88: Waiting time = 0.00017384439706802368 | Resolution time = 0.000158804003149271 | Resolution type = None
Job 89: Waiting time = 0.00012928107753396034 | Resolution time = 0.00011528795585036278 | Resolution type = None
Job 90: Waiting time = 0.0001772386021912098 | Resolution time = 0.00016262847930192947 | Resolution type = None
Job 91: Waiting time = 0.00014582974836230278 | Resolution time = 0.0001319567672908306 | Resolution type = None
Job 92: Waiting time = 0.0001410902477800846 | Resolution time = 0.00012602517381310463 | Resolution type = None
Job 93: Waiting time = 0.00017605721950531006 | Resolution time = 0.00016329390928149223 | Resolution type = None
Job 94: Waiting time = 0.00021973997354507446 | Resolution time = 0.00020452309399843216 | Resolution type = None
Job 95: Waiting time = 0.00015524821355938911 | Resolution time = 0.0001385682262480259 | Resolution type = None
Job 96: Waiting time = 0.0002162707969546318 | Resolution time = 0.00020216591656208038 | Resolution type = None
Job 97: Waiting time = 0.00015658419579267502 | Resolution time = 0.00013992143794894218 | Resolution type = None
Job 98: Waiting time = 0.00017613405361771584 | Resolution time = 0.00016036489978432655 | Resolution type = None
Job 99: Waiting time = 0.0002873349003493786 | Resolution time = 0.00017514079809188843 | Resolution type = None
Job 100: Waiting time = 0.0001743566244840622 | Resolution time = 0.00016068853437900543 | Resolution type = None
Job 101: Waiting time = 0.00014283182099461555 | Resolution time = 0.00012455135583877563 | Resolution type = None
Job 102: Waiting time = 0.00019081123173236847 | Resolution time = 0.00017331168055534363 | Resolution type = None
