Job 1: Waiting time = 9.756488725543022e-05 | Resolution time = 6.960984319448471e-05 | Resolution type = None
Job 2: Waiting time = 0.00011361297219991684 | Resolution time = 9.681005030870438e-05 | Resolution type = None
Job 3: Waiting time = 6.428314372897148e-05 | Resolution time = 4.871748387813568e-05 | Resolution type = None
Job 4: Waiting time = 6.008800119161606e-05 | Resolution time = 4.622573032975197e-05 | Resolution type = None
Job 5: Waiting time = 0.00020500784739851952 | Resolution time = 6.854766979813576e-05 | Resolution type = None
Job 6: Waiting time = 5.491077899932861e-05 | Resolution time = 3.957189619541168e-05 | Resolution type = None
Job 7: Waiting time = 6.67991116642952e-05 | Resolution time = 5.2650924772024155e-05 | Resolution type = None
Job 8: Waiting time = 5.880231037735939e-05 | Resolution time = 4.572886973619461e-05 | Resolution type = None
Job 9: Waiting time = 6.920285522937775e-05 | Resolution time = 5.4986681789159775e-05 | Resolution type = None
Job 10: Waiting time = 0.00011292379349470139 | Resolution time = 9.90498811006546e-05 | Resolution type = None
Job 11: Waiting time = 0.00010057305917143822 | Resolution time = 8.783582597970963e-05 | Resolution type = None
Job 12: Waiting time = 7.647136226296425e-05 | Resolution time = 6.069149821996689e-05 | Resolution type = None
Job 13: Waiting time = 8.886214345693588e-05 | Resolution time = 7.328391075134277e-05 | Resolution type = None
Job 14: Waiting time = 9.181676432490349e-05 | Resolution time = 7.73528590798378e-05 | Resolution type = None
Job 15: Waiting time = 0.00017121108248829842 | Resolution time = 5.584629252552986e-05 | Resolution type = None
Job 16: Waiting time = 4.690093919634819e-05 | Resolution time = 3.386195749044418e-05 | Resolution type = None
Job 17: Waiting time = 7.67209567129612e-05 | Resolution time = 6.047077476978302e-05 | Resolution type = None
Job 18: Waiting time = 0.00014522206038236618 | Resolution time = 0.0001289001666009426 | Resolution type = None
Job 19: Waiting time = 5.5524054914712906e-05 | Resolution time = 4.186481237411499e-05 | Resolution type = None
Job 20: Waiting time = 0.00010052323341369629 | Resolution time = 6.615789607167244e-05 | Resolution type = None
Job 21: Waiting time = 8.593173697590828e-05 | Resolution time = 6.915582343935966e-05 | Resolution type = None
Job 22: Waiting time = 6.991392001509666e-05 | Resolution time = 5.5036041885614395e-05 | Resolution type = None
Job 23: Waiting time = 0.00018638325855135918 | Resolution time = 4.291906952857971e-05 | Resolution type = None
Job 24: Waiting time = 0.00010146107524633408 | Resolution time = 8.556060492992401e-05 | Resolution type = None
Job 25: Waiting time = 0.00010147318243980408 | Resolution time = 8.559785783290863e-05 | Resolution type = None
Job 26: Waiting time = 5.7693105190992355e-05 | Resolution time = 4.347087815403938e-05 | Resolution type = None
Job 27: Waiting time = 0.00012126006186008453 | Resolution time = 0.00010503502562642097 | Resolution type = None
Job 28: Waiting time = 8.387304842472076e-05 | Resolution time = 5.415966734290123e-05 | Resolution type = None
Job 29: Waiting time = 7.93328508734703e-05 | Resolution time = 6.438605487346649e-05 | Resolution type = None
Job 30: Waiting time = 0.00011457502841949463 | Resolution time = 7.31535255908966e-05 | Resolution type = None
Job 31: Waiting time = 8.215708658099174e-05 | Resolution time = 6.886199116706848e-05 | Resolution type = None
Job 32: Waiting time = 9.222794324159622e-05 | Resolution time = 7.594097405672073e-05 | Resolution type = None
Job 33: Waiting time = 6.354507058858871e-05 | Resolution time = 4.872400313615799e-05 | Resolution type = None
