Job 1: Waiting time = 9.746616706252098e-05 | Resolution time = 8.872197940945625e-05 | Resolution type = Policy
Job 2: Waiting time = 0.0009084548801183701 | Resolution time = 0.0009009172208607197 | Resolution type = Policy
Job 3: Waiting time = 0.0011579892598092556 | Resolution time = 0.0011520758271217346 | Resolution type = None
Job 4: Waiting time = 0.0011392240412533283 | Resolution time = 0.0011331010609865189 | Resolution type = None
Job 5: Waiting time = 0.0007463507354259491 | Resolution time = 0.0007410957477986813 | Resolution type = Policy
Job 6: Waiting time = 0.0009894766844809055 | Resolution time = 0.0009837942197918892 | Resolution type = None
Job 7: Waiting time = 0.0010636569932103157 | Resolution time = 0.0010584029369056225 | Resolution type = None
Job 8: Waiting time = 0.0010251421481370926 | Resolution time = 0.0010191593319177628 | Resolution type = None
Job 9: Waiting time = 0.0008685910142958164 | Resolution time = 0.0008636829443275928 | Resolution type = None
Job 10: Waiting time = 0.0002887551672756672 | Resolution time = 0.0002772621810436249 | Resolution type = Policy
Job 11: Waiting time = 0.0009641018696129322 | Resolution time = 0.0009584240615367889 | Resolution type = None
Job 12: Waiting time = 0.0006614751182496548 | Resolution time = 0.0006540119647979736 | Resolution type = Policy
Job 13: Waiting time = 0.0005795476026833057 | Resolution time = 0.0005746739916503429 | Resolution type = Policy
Job 14: Waiting time = 0.0010785050690174103 | Resolution time = 0.001073142047971487 | Resolution type = None
Job 15: Waiting time = 0.00012851785868406296 | Resolution time = 0.00012361910194158554 | Resolution type = Policy
Job 16: Waiting time = 0.00025661196559667587 | Resolution time = 0.000251618679612875 | Resolution type = Policy
Job 17: Waiting time = 0.002064647153019905 | Resolution time = 0.002054260578006506 | Resolution type = None
Job 18: Waiting time = 0.0010448149405419827 | Resolution time = 0.0010251603089272976 | Resolution type = None
Job 19: Waiting time = 0.0004656142555177212 | Resolution time = 0.00043835490942001343 | Resolution type = Policy
Job 20: Waiting time = 0.00028611067682504654 | Resolution time = 0.00026588188484311104 | Resolution type = Policy
Job 21: Waiting time = 0.0011432450264692307 | Resolution time = 0.0011288984678685665 | Resolution type = None
Job 22: Waiting time = 0.0005864500999450684 | Resolution time = 0.0005743359215557575 | Resolution type = Policy
Job 23: Waiting time = 0.0009830980561673641 | Resolution time = 0.0009593339636921883 | Resolution type = None
Job 24: Waiting time = 0.00102170929312706 | Resolution time = 0.0010067480616271496 | Resolution type = None
Job 25: Waiting time = 0.0009691119194030762 | Resolution time = 0.000828244723379612 | Resolution type = Policy
Job 26: Waiting time = 0.0004155621863901615 | Resolution time = 0.00040088407695293427 | Resolution type = Policy
Job 27: Waiting time = 0.0007424377836287022 | Resolution time = 0.0007275468669831753 | Resolution type = Policy
Job 28: Waiting time = 0.0011572092771530151 | Resolution time = 0.001141753513365984 | Resolution type = None
Job 29: Waiting time = 0.0004786779172718525 | Resolution time = 0.00046397093683481216 | Resolution type = Policy
Job 30: Waiting time = 0.0012434362433850765 | Resolution time = 0.0012286752462387085 | Resolution type = None
