Job 1: Waiting time = 0.0008138581179082394 | Resolution time = 0.0007883040234446526 | Resolution type = Policy
Job 2: Waiting time = 0.001364775002002716 | Resolution time = 0.0013417350128293037 | Resolution type = None
Job 3: Waiting time = 0.001145320013165474 | Resolution time = 0.0011310181580483913 | Resolution type = None
Job 4: Waiting time = 0.00010307738557457924 | Resolution time = 9.059067815542221e-05 | Resolution type = Policy
Job 5: Waiting time = 0.0003040628507733345 | Resolution time = 0.000291324220597744 | Resolution type = Policy
Job 6: Waiting time = 0.0012171990238130093 | Resolution time = 0.0012024599127471447 | Resolution type = None
Job 7: Waiting time = 0.0008689863607287407 | Resolution time = 0.000850834883749485 | Resolution type = Policy
Job 8: Waiting time = 0.000427494291216135 | Resolution time = 0.00041436776518821716 | Resolution type = Policy
Job 9: Waiting time = 0.0006033312529325485 | Resolution time = 0.0005886056460440159 | Resolution type = Policy
Job 10: Waiting time = 0.0003414289094507694 | Resolution time = 0.0003260588273406029 | Resolution type = Policy
Job 11: Waiting time = 0.00033325934782624245 | Resolution time = 0.00032094959169626236 | Resolution type = Policy
Job 12: Waiting time = 0.00046280771493911743 | Resolution time = 0.00044791027903556824 | Resolution type = Policy
Job 13: Waiting time = 0.0010112384334206581 | Resolution time = 0.0009967689402401447 | Resolution type = Policy
Job 14: Waiting time = 0.0006177397444844246 | Resolution time = 0.0006055026315152645 | Resolution type = Policy
Job 15: Waiting time = 9.417906403541565e-05 | Resolution time = 8.071679621934891e-05 | Resolution type = Policy
Job 16: Waiting time = 0.0012096390128135681 | Resolution time = 0.0011969050392508507 | Resolution type = None
Job 17: Waiting time = 0.000780005007982254 | Resolution time = 0.0007643378339707851 | Resolution type = Policy
Job 18: Waiting time = 0.0011086626909673214 | Resolution time = 0.0010931198485195637 | Resolution type = None
Job 19: Waiting time = 0.000625185202807188 | Resolution time = 0.0006111431866884232 | Resolution type = Policy
Job 20: Waiting time = 0.00013783015310764313 | Resolution time = 0.0001238337717950344 | Resolution type = Policy
Job 21: Waiting time = 0.0004883101209998131 | Resolution time = 0.000357890035957098 | Resolution type = Policy
Job 22: Waiting time = 0.0010170768946409225 | Resolution time = 0.0010035629384219646 | Resolution type = None
Job 23: Waiting time = 0.0009540249593555927 | Resolution time = 0.0009354250505566597 | Resolution type = Policy
Job 24: Waiting time = 0.0010352530516684055 | Resolution time = 0.0010166224092245102 | Resolution type = None
Job 25: Waiting time = 0.001091263722628355 | Resolution time = 0.0010733003728091717 | Resolution type = None
Job 26: Waiting time = 0.0010012122802436352 | Resolution time = 0.0009865136817097664 | Resolution type = None
Job 27: Waiting time = 0.0011389669962227345 | Resolution time = 0.0011252975091338158 | Resolution type = None
Job 28: Waiting time = 0.0010677441023290157 | Resolution time = 0.0010424074716866016 | Resolution type = None
Job 29: Waiting time = 0.0010139700025320053 | Resolution time = 0.0009986157529056072 | Resolution type = None
Job 30: Waiting time = 0.0013349191285669804 | Resolution time = 0.0013171550817787647 | Resolution type = None
Job 31: Waiting time = 0.0011409842409193516 | Resolution time = 0.0011241156607866287 | Resolution type = None
Job 32: Waiting time = 0.0008547380566596985 | Resolution time = 0.0008372040465474129 | Resolution type = Policy
Job 33: Waiting time = 0.0009716330096125603 | Resolution time = 0.0009570051915943623 | Resolution type = None
Job 34: Waiting time = 0.000304671935737133 | Resolution time = 0.0002874918282032013 | Resolution type = Policy
Job 35: Waiting time = 0.0011067087762057781 | Resolution time = 0.0010906239040195942 | Resolution type = None
Job 36: Waiting time = 0.0006725289858877659 | Resolution time = 0.0006573810242116451 | Resolution type = Policy
Job 37: Waiting time = 0.0006766878068447113 | Resolution time = 0.0006615761667490005 | Resolution type = Policy
Job 38: Waiting time = 0.0009305272251367569 | Resolution time = 0.0009158020839095116 | Resolution type = Policy
Job 39: Waiting time = 0.00035194307565689087 | Resolution time = 0.00033577391877770424 | Resolution type = Policy
Job 40: Waiting time = 0.001181307714432478 | Resolution time = 0.001167778391391039 | Resolution type = None
Job 41: Waiting time = 0.0009435378015041351 | Resolution time = 0.0009270021691918373 | Resolution type = Policy
Job 42: Waiting time = 0.0011689788661897182 | Resolution time = 0.0011407309211790562 | Resolution type = None
Job 43: Waiting time = 0.000817461870610714 | Resolution time = 0.0008044061250984669 | Resolution type = Policy
Job 44: Waiting time = 0.0011513433419167995 | Resolution time = 0.0011379169300198555 | Resolution type = None
Job 45: Waiting time = 0.0013088658452033997 | Resolution time = 0.0012911749072372913 | Resolution type = None
Job 46: Waiting time = 0.0007184520363807678 | Resolution time = 0.0007054139859974384 | Resolution type = Policy
Job 47: Waiting time = 0.00033523794263601303 | Resolution time = 0.00031094998121261597 | Resolution type = Policy
Job 48: Waiting time = 0.0008888198062777519 | Resolution time = 0.0008727838285267353 | Resolution type = Policy
Job 49: Waiting time = 0.0008678771555423737 | Resolution time = 0.0008509592153131962 | Resolution type = Policy
Job 50: Waiting time = 0.00037632323801517487 | Resolution time = 0.00036083394661545753 | Resolution type = Policy
Job 51: Waiting time = 0.0012451396323740482 | Resolution time = 0.0012282868847250938 | Resolution type = None
Job 52: Waiting time = 8.971523493528366e-05 | Resolution time = 6.548315286636353e-05 | Resolution type = Policy
Job 53: Waiting time = 0.0005453517660498619 | Resolution time = 0.0005328520201146603 | Resolution type = Policy
Job 54: Waiting time = 0.0006277472712099552 | Resolution time = 0.0006131366826593876 | Resolution type = Policy
Job 55: Waiting time = 0.00023944862186908722 | Resolution time = 0.00022683478891849518 | Resolution type = Policy
Job 56: Waiting time = 0.0010079452767968178 | Resolution time = 0.0009923726320266724 | Resolution type = Policy
Job 57: Waiting time = 0.0003269580192863941 | Resolution time = 0.0003126361407339573 | Resolution type = Policy
Job 58: Waiting time = 0.0005368371494114399 | Resolution time = 0.0005185473710298538 | Resolution type = Policy
Job 59: Waiting time = 0.0005593849346041679 | Resolution time = 0.00044656265527009964 | Resolution type = Policy
Job 60: Waiting time = 0.0004986422136425972 | Resolution time = 0.00048397062346339226 | Resolution type = Policy
Job 61: Waiting time = 0.0006025149486958981 | Resolution time = 0.000587712973356247 | Resolution type = Policy
Job 62: Waiting time = 0.0012641469947993755 | Resolution time = 0.0012488258071243763 | Resolution type = None
Job 63: Waiting time = 0.00016599474474787712 | Resolution time = 0.0001510530710220337 | Resolution type = Policy
