Job 1: Waiting time = 0.00010296795517206192 | Resolution time = 9.004632011055946e-05 | Resolution type = Policy
Job 2: Waiting time = 0.0008018072694540024 | Resolution time = 0.0007847538217902184 | Resolution type = Policy
Job 3: Waiting time = 0.0014155548997223377 | Resolution time = 0.0013989061117172241 | Resolution type = None
Job 4: Waiting time = 0.001432029064744711 | Resolution time = 0.001414705067873001 | Resolution type = None
Job 5: Waiting time = 0.0002744821831583977 | Resolution time = 0.00025933887809515 | Resolution type = Policy
Job 6: Waiting time = 0.0014196792617440224 | Resolution time = 0.0014032917097210884 | Resolution type = None
Job 7: Waiting time = 0.0008205831982195377 | Resolution time = 0.0008056708611547947 | Resolution type = Policy
Job 8: Waiting time = 0.0015440881252288818 | Resolution time = 0.0015278998762369156 | Resolution type = None
Job 9: Waiting time = 0.0009978991001844406 | Resolution time = 0.0008558258414268494 | Resolution type = Policy
Job 10: Waiting time = 0.0002440628595650196 | Resolution time = 0.00012357113882899284 | Resolution type = Policy
Job 11: Waiting time = 0.0008983500301837921 | Resolution time = 0.0008780467323958874 | Resolution type = Policy
Job 12: Waiting time = 0.0016014338470995426 | Resolution time = 0.0015848749317228794 | Resolution type = None
Job 13: Waiting time = 0.00032904790714383125 | Resolution time = 0.0002121790312230587 | Resolution type = Policy
Job 14: Waiting time = 0.0016739959828555584 | Resolution time = 0.0015515247359871864 | Resolution type = None
Job 15: Waiting time = 0.00048073381185531616 | Resolution time = 0.0003496105782687664 | Resolution type = Policy
Job 16: Waiting time = 0.0007764440961182117 | Resolution time = 0.0007597669027745724 | Resolution type = Policy
Job 17: Waiting time = 0.0014420808292925358 | Resolution time = 0.0014249361120164394 | Resolution type = None
Job 18: Waiting time = 0.00162599328905344 | Resolution time = 0.0016079028137028217 | Resolution type = None
Job 19: Waiting time = 0.00017913803458213806 | Resolution time = 0.0001539350487291813 | Resolution type = Policy
Job 20: Waiting time = 0.0004928857088088989 | Resolution time = 0.0004762466996908188 | Resolution type = Policy
Job 21: Waiting time = 0.0003304458223283291 | Resolution time = 0.00031557492911815643 | Resolution type = Policy
Job 22: Waiting time = 0.0004875781014561653 | Resolution time = 0.0004714210517704487 | Resolution type = Policy
Job 23: Waiting time = 0.000528113916516304 | Resolution time = 0.0005130521021783352 | Resolution type = Policy
