Job 1: Waiting time = 0.00046022795140743256 | Resolution time = 0.00044101011008024216 | Resolution type = Policy
Job 2: Waiting time = 0.0012190383858978748 | Resolution time = 0.0012002582661807537 | Resolution type = Policy
Job 3: Waiting time = 0.0006409040652215481 | Resolution time = 0.0006230529397726059 | Resolution type = Policy
Job 4: Waiting time = 0.00044050300493836403 | Resolution time = 0.0004258858971297741 | Resolution type = Policy
Job 5: Waiting time = 0.0016750958748161793 | Resolution time = 0.0015636300668120384 | Resolution type = None
Job 6: Waiting time = 0.0013947300612926483 | Resolution time = 0.0013785157352685928 | Resolution type = None
Job 7: Waiting time = 0.0008876887150108814 | Resolution time = 0.0008734408766031265 | Resolution type = Policy
Job 8: Waiting time = 0.000666412990540266 | Resolution time = 0.0006506019271910191 | Resolution type = Policy
Job 9: Waiting time = 0.0012927758507430553 | Resolution time = 0.0012662881053984165 | Resolution type = None
Job 10: Waiting time = 0.0004269331693649292 | Resolution time = 0.00041130324825644493 | Resolution type = Policy
Job 11: Waiting time = 0.0010414677672088146 | Resolution time = 0.0010276129469275475 | Resolution type = Policy
Job 12: Waiting time = 0.0015361909754574299 | Resolution time = 0.0015204790979623795 | Resolution type = None
Job 13: Waiting time = 0.0011106589809060097 | Resolution time = 0.0010944828391075134 | Resolution type = Policy
Job 14: Waiting time = 0.0015446972101926804 | Resolution time = 0.0015279478393495083 | Resolution type = None
Job 15: Waiting time = 0.001534485723823309 | Resolution time = 0.0014232359826564789 | Resolution type = None
Job 16: Waiting time = 0.0012271357700228691 | Resolution time = 0.0012123817577958107 | Resolution type = Policy
Job 17: Waiting time = 0.0016060872003436089 | Resolution time = 0.0015911241061985493 | Resolution type = None
Job 18: Waiting time = 0.0006196107715368271 | Resolution time = 0.0006071478128433228 | Resolution type = Policy
Job 19: Waiting time = 0.0016409731470048428 | Resolution time = 0.0016264403238892555 | Resolution type = None
Job 20: Waiting time = 0.0009722770191729069 | Resolution time = 0.0008785240352153778 | Resolution type = Policy
Job 21: Waiting time = 0.001214024145156145 | Resolution time = 0.0011992878280580044 | Resolution type = Policy
Job 22: Waiting time = 0.0011046729050576687 | Resolution time = 0.0010893959552049637 | Resolution type = Policy
Job 23: Waiting time = 0.001026616431772709 | Resolution time = 0.0010117101483047009 | Resolution type = Policy
Job 24: Waiting time = 0.0015829671174287796 | Resolution time = 0.0015663690865039825 | Resolution type = None
Job 25: Waiting time = 0.0006444919854402542 | Resolution time = 0.0006065950728952885 | Resolution type = Policy
Job 26: Waiting time = 0.0016768630594015121 | Resolution time = 0.0016608880832791328 | Resolution type = None
Job 27: Waiting time = 0.001542193815112114 | Resolution time = 0.001527924556285143 | Resolution type = None
Job 28: Waiting time = 0.00015948805958032608 | Resolution time = 0.0001447000540792942 | Resolution type = Policy
Job 29: Waiting time = 0.0005965288728475571 | Resolution time = 0.0005804169923067093 | Resolution type = Policy
Job 30: Waiting time = 0.001743784174323082 | Resolution time = 0.0017299042083323002 | Resolution type = None
Job 31: Waiting time = 0.0010527409613132477 | Resolution time = 0.0010373317636549473 | Resolution type = Policy
Job 32: Waiting time = 0.0005991207435727119 | Resolution time = 0.0005832072347402573 | Resolution type = Policy
Job 33: Waiting time = 0.0008758869953453541 | Resolution time = 0.0008603897877037525 | Resolution type = Policy
Job 34: Waiting time = 0.0018420829437673092 | Resolution time = 0.001826767809689045 | Resolution type = None
Job 35: Waiting time = 0.0017833258025348186 | Resolution time = 0.001767412293702364 | Resolution type = None
Job 36: Waiting time = 0.0009421529248356819 | Resolution time = 0.0009265970438718796 | Resolution type = Policy
Job 37: Waiting time = 0.001730064395815134 | Resolution time = 0.00171566940844059 | Resolution type = None
Job 38: Waiting time = 0.0018078279681503773 | Resolution time = 0.001790535170584917 | Resolution type = None
Job 39: Waiting time = 0.0017338008619844913 | Resolution time = 0.001720113679766655 | Resolution type = None
Job 40: Waiting time = 0.001535352785140276 | Resolution time = 0.0015215668827295303 | Resolution type = None
Job 41: Waiting time = 0.0009293798357248306 | Resolution time = 0.00091164605692029 | Resolution type = Policy
Job 42: Waiting time = 0.0018669972196221352 | Resolution time = 0.001851322129368782 | Resolution type = None
Job 43: Waiting time = 0.0004984107799828053 | Resolution time = 0.0004848921671509743 | Resolution type = Policy
Job 44: Waiting time = 0.001607589889317751 | Resolution time = 0.0015926039777696133 | Resolution type = None
Job 45: Waiting time = 0.000528230331838131 | Resolution time = 0.0005144909955561161 | Resolution type = Policy
