Job 1: Waiting time = 0.0011696601286530495 | Resolution time = 0.0011406992562115192 | Resolution type = Policy
Job 2: Waiting time = 0.0003416440449655056 | Resolution time = 0.0002164510078728199 | Resolution type = Policy
Job 3: Waiting time = 0.0010887570679187775 | Resolution time = 0.0010723290033638477 | Resolution type = Policy
Job 4: Waiting time = 0.0013904091902077198 | Resolution time = 0.0013725999742746353 | Resolution type = None
Job 5: Waiting time = 0.0005735759623348713 | Resolution time = 0.0005561299622058868 | Resolution type = Policy
Job 6: Waiting time = 0.0012479349970817566 | Resolution time = 0.0012312410399317741 | Resolution type = Policy
Job 7: Waiting time = 0.0014952439814805984 | Resolution time = 0.001452756579965353 | Resolution type = None
Job 8: Waiting time = 0.002625059336423874 | Resolution time = 0.0011395933106541634 | Resolution type = None
Job 9: Waiting time = 0.0006284681148827076 | Resolution time = 0.0005867099389433861 | Resolution type = Policy
Job 10: Waiting time = 0.0018774527125060558 | Resolution time = 0.001260541845113039 | Resolution type = None
Job 11: Waiting time = 0.0007471940480172634 | Resolution time = 0.0007317936979234219 | Resolution type = Policy
Job 12: Waiting time = 0.0012372294440865517 | Resolution time = 0.0012200260534882545 | Resolution type = None
Job 13: Waiting time = 0.00016664713621139526 | Resolution time = 0.0001515471376478672 | Resolution type = Policy
Job 14: Waiting time = 0.0014324020594358444 | Resolution time = 0.0014166850596666336 | Resolution type = None
Job 15: Waiting time = 0.0014382489025592804 | Resolution time = 0.0014194468967616558 | Resolution type = None
Job 16: Waiting time = 0.000512419268488884 | Resolution time = 0.0004973458126187325 | Resolution type = Policy
Job 17: Waiting time = 0.0002216859720647335 | Resolution time = 0.00020598014816641808 | Resolution type = Policy
Job 18: Waiting time = 0.0014702770859003067 | Resolution time = 0.0014545498415827751 | Resolution type = None
Job 19: Waiting time = 0.001513815950602293 | Resolution time = 0.0014982190914452076 | Resolution type = None
Job 20: Waiting time = 0.00019226456061005592 | Resolution time = 0.00017513474449515343 | Resolution type = Policy
Job 21: Waiting time = 0.0003940802998840809 | Resolution time = 0.00037790508940815926 | Resolution type = Policy
Job 22: Waiting time = 0.0018557067960500717 | Resolution time = 0.0018406007438898087 | Resolution type = None
Job 23: Waiting time = 0.00039845099672675133 | Resolution time = 0.0003805002197623253 | Resolution type = Policy
Job 24: Waiting time = 0.0014757383614778519 | Resolution time = 0.0014515635557472706 | Resolution type = None
Job 25: Waiting time = 0.0012960419990122318 | Resolution time = 0.0012829219922423363 | Resolution type = None
Job 26: Waiting time = 0.001367230899631977 | Resolution time = 0.0013504852540791035 | Resolution type = None
Job 27: Waiting time = 0.0012143799103796482 | Resolution time = 0.001135340891778469 | Resolution type = None
Job 28: Waiting time = 0.0007398808375000954 | Resolution time = 0.0007257591933012009 | Resolution type = Policy
Job 29: Waiting time = 0.0012414050288498402 | Resolution time = 0.0012266086414456367 | Resolution type = None
Job 30: Waiting time = 0.0009305179119110107 | Resolution time = 0.0009150821715593338 | Resolution type = Policy
Job 31: Waiting time = 0.0012982329353690147 | Resolution time = 0.0012824004516005516 | Resolution type = None
Job 32: Waiting time = 0.0004905490204691887 | Resolution time = 0.00047485483810305595 | Resolution type = Policy
Job 33: Waiting time = 0.0013194871135056019 | Resolution time = 0.0013031628914177418 | Resolution type = None
Job 34: Waiting time = 0.0010412540286779404 | Resolution time = 0.0010249493643641472 | Resolution type = None
Job 35: Waiting time = 0.001219270285218954 | Resolution time = 0.0012023570016026497 | Resolution type = None
Job 36: Waiting time = 0.000876234844326973 | Resolution time = 0.0008608666248619556 | Resolution type = Policy
Job 37: Waiting time = 0.0002171909436583519 | Resolution time = 0.00020233029499650002 | Resolution type = Policy
Job 38: Waiting time = 0.0013593416661024094 | Resolution time = 0.0013442537747323513 | Resolution type = None
Job 39: Waiting time = 0.0005689612589776516 | Resolution time = 0.0005540843121707439 | Resolution type = Policy
Job 40: Waiting time = 0.0013807667419314384 | Resolution time = 0.001260783988982439 | Resolution type = None
Job 41: Waiting time = 8.101481944322586e-05 | Resolution time = 6.553484126925468e-05 | Resolution type = Policy
Job 42: Waiting time = 0.0018937448039650917 | Resolution time = 0.001878822222352028 | Resolution type = None
Job 43: Waiting time = 0.0016564126126468182 | Resolution time = 0.0016395836137235165 | Resolution type = None
