Job 1: Waiting time = 0.0013915472663939 | Resolution time = 0.001367779914289713 | Resolution type = None
Job 2: Waiting time = 0.002557894214987755 | Resolution time = 0.0011617154814302921 | Resolution type = None
Job 3: Waiting time = 0.0010980120860040188 | Resolution time = 0.0010910537093877792 | Resolution type = None
Job 4: Waiting time = 0.0008527757599949837 | Resolution time = 0.0008460809476673603 | Resolution type = Policy
Job 5: Waiting time = 0.00044058915227651596 | Resolution time = 0.0004335390403866768 | Resolution type = Policy
Job 6: Waiting time = 0.0010062758810818195 | Resolution time = 0.0009882408194243908 | Resolution type = None
Job 7: Waiting time = 0.001374109648168087 | Resolution time = 0.0003691823221743107 | Resolution type = Policy
Job 8: Waiting time = 0.0010642977431416512 | Resolution time = 0.001058403868228197 | Resolution type = None
Job 9: Waiting time = 0.0010836808942258358 | Resolution time = 0.0010777702555060387 | Resolution type = None
Job 10: Waiting time = 0.0010105213150382042 | Resolution time = 0.0009804880246520042 | Resolution type = None
Job 11: Waiting time = 0.000667136162519455 | Resolution time = 0.0006520999595522881 | Resolution type = Policy
Job 12: Waiting time = 0.0007901587523519993 | Resolution time = 0.0007763132452964783 | Resolution type = Policy
Job 13: Waiting time = 0.00028403429314494133 | Resolution time = 0.0002706320956349373 | Resolution type = Policy
Job 14: Waiting time = 0.000977254007011652 | Resolution time = 0.0009636515751481056 | Resolution type = None
Job 15: Waiting time = 0.0009921779856085777 | Resolution time = 0.0008889110758900642 | Resolution type = None
Job 16: Waiting time = 0.0010221302509307861 | Resolution time = 0.001008661463856697 | Resolution type = None
Job 17: Waiting time = 0.00017306488007307053 | Resolution time = 0.00014893105253577232 | Resolution type = Policy
Job 18: Waiting time = 0.0006228727288544178 | Resolution time = 0.0006089680828154087 | Resolution type = Policy
Job 19: Waiting time = 0.0010813968256115913 | Resolution time = 0.0010564536787569523 | Resolution type = None
Job 20: Waiting time = 0.0008004498668015003 | Resolution time = 0.0007866700179874897 | Resolution type = Policy
Job 21: Waiting time = 0.00041106995195150375 | Resolution time = 0.0003961510956287384 | Resolution type = Policy
Job 22: Waiting time = 0.0006728912703692913 | Resolution time = 0.0006575370207428932 | Resolution type = Policy
Job 23: Waiting time = 0.0010694912634789944 | Resolution time = 0.0010498478077352047 | Resolution type = None
Job 24: Waiting time = 0.0011791014112532139 | Resolution time = 0.0011622454039752483 | Resolution type = None
Job 25: Waiting time = 0.0006127096712589264 | Resolution time = 0.0005977246910333633 | Resolution type = Policy
Job 26: Waiting time = 0.0010837833397090435 | Resolution time = 0.0010552951134741306 | Resolution type = None
Job 27: Waiting time = 0.000402035191655159 | Resolution time = 0.0003722649998962879 | Resolution type = Policy
Job 28: Waiting time = 0.00069392379373312 | Resolution time = 0.0006795013323426247 | Resolution type = Policy
Job 29: Waiting time = 0.00014653988182544708 | Resolution time = 0.0001314980909228325 | Resolution type = Policy
Job 30: Waiting time = 0.00020965328440070152 | Resolution time = 0.0001929127611219883 | Resolution type = Policy
Job 31: Waiting time = 0.0012177168391644955 | Resolution time = 0.0012049227952957153 | Resolution type = None
Job 32: Waiting time = 0.0005446262657642365 | Resolution time = 0.0005301139317452908 | Resolution type = Policy
Job 33: Waiting time = 8.190097287297249e-05 | Resolution time = 6.984919309616089e-05 | Resolution type = Policy
