Job 1: Waiting time = 0.00010069413110613823 | Resolution time = 8.177896961569786e-05 | Resolution type = None
Job 2: Waiting time = 0.00010340800508856773 | Resolution time = 8.580414578318596e-05 | Resolution type = None
Job 3: Waiting time = 0.0001221969723701477 | Resolution time = 0.00010608509182929993 | Resolution type = None
Job 4: Waiting time = 0.00015222886577248573 | Resolution time = 0.00013716332614421844 | Resolution type = None
Job 5: Waiting time = 0.00013705715537071228 | Resolution time = 0.00011665187776088715 | Resolution type = None
Job 6: Waiting time = 0.00017257500439882278 | Resolution time = 0.00015729013830423355 | Resolution type = None
Job 7: Waiting time = 0.0001835930161178112 | Resolution time = 0.00014822371304035187 | Resolution type = None
Job 8: Waiting time = 0.0002778787165880203 | Resolution time = 0.00016316073015332222 | Resolution type = None
Job 9: Waiting time = 0.0001926189288496971 | Resolution time = 0.0001782076433300972 | Resolution type = None
Job 10: Waiting time = 0.00023191096261143684 | Resolution time = 0.00021688314154744148 | Resolution type = None
Job 11: Waiting time = 0.0002530100755393505 | Resolution time = 0.00023679621517658234 | Resolution type = None
Job 12: Waiting time = 0.00022265082225203514 | Resolution time = 0.00020728493109345436 | Resolution type = None
Job 13: Waiting time = 0.00019532209262251854 | Resolution time = 0.00018095364794135094 | Resolution type = None
Job 14: Waiting time = 0.0002146330662071705 | Resolution time = 0.00019868090748786926 | Resolution type = None
Job 15: Waiting time = 0.0002593919634819031 | Resolution time = 0.0002442416734993458 | Resolution type = None
Job 16: Waiting time = 0.0003771260380744934 | Resolution time = 0.00026917504146695137 | Resolution type = None
Job 17: Waiting time = 0.0002447911538183689 | Resolution time = 0.00023049954324960709 | Resolution type = None
Job 18: Waiting time = 0.0003307159058749676 | Resolution time = 0.0003123185597360134 | Resolution type = None
Job 19: Waiting time = 0.0003650137223303318 | Resolution time = 0.00026542507112026215 | Resolution type = None
Job 20: Waiting time = 0.0003050323575735092 | Resolution time = 0.0002910122275352478 | Resolution type = None
Job 21: Waiting time = 0.0002900678664445877 | Resolution time = 0.0002741469070315361 | Resolution type = None
Job 22: Waiting time = 0.0003247079439461231 | Resolution time = 0.00030903285369277 | Resolution type = None
Job 23: Waiting time = 0.0003476440906524658 | Resolution time = 0.0003311261534690857 | Resolution type = None
Job 24: Waiting time = 0.0003266329877078533 | Resolution time = 0.0003104293718934059 | Resolution type = None
Job 25: Waiting time = 0.000344838947057724 | Resolution time = 0.0003300989046692848 | Resolution type = None
Job 26: Waiting time = 0.0003675832413136959 | Resolution time = 0.0003525209613144398 | Resolution type = None
Job 27: Waiting time = 0.0003507966175675392 | Resolution time = 0.00033620232716202736 | Resolution type = None
