Job 1: Waiting time = 9.532086551189423e-05 | Resolution time = 7.569324225187302e-05 | Resolution type = None
Job 2: Waiting time = 0.00021457206457853317 | Resolution time = 5.719205364584923e-05 | Resolution type = None
Job 3: Waiting time = 0.00013058166950941086 | Resolution time = 0.00011486094444990158 | Resolution type = None
Job 4: Waiting time = 0.00011484185233712196 | Resolution time = 9.822892025113106e-05 | Resolution type = None
Job 5: Waiting time = 0.000122907105833292 | Resolution time = 0.00010930793359875679 | Resolution type = None
Job 6: Waiting time = 0.00016772979870438576 | Resolution time = 0.00015382375568151474 | Resolution type = None
Job 7: Waiting time = 0.00012979842722415924 | Resolution time = 0.00011599762365221977 | Resolution type = None
Job 8: Waiting time = 0.0002313372679054737 | Resolution time = 0.00021705590188503265 | Resolution type = None
Job 9: Waiting time = 0.00014983909204602242 | Resolution time = 0.00013325316831469536 | Resolution type = None
Job 10: Waiting time = 0.00023323111236095428 | Resolution time = 0.00021904520690441132 | Resolution type = None
Job 11: Waiting time = 0.00021961191669106483 | Resolution time = 0.00020372262224555016 | Resolution type = None
Job 12: Waiting time = 0.00023139594122767448 | Resolution time = 0.00021664053201675415 | Resolution type = None
Job 13: Waiting time = 0.00031192926689982414 | Resolution time = 0.0002951459027826786 | Resolution type = None
Job 14: Waiting time = 0.000263068825006485 | Resolution time = 0.0002462039701640606 | Resolution type = None
Job 15: Waiting time = 0.0002558431588113308 | Resolution time = 0.00024003302678465843 | Resolution type = None
Job 16: Waiting time = 0.0002325819805264473 | Resolution time = 0.000217486172914505 | Resolution type = None
Job 17: Waiting time = 0.00022710487246513367 | Resolution time = 0.00021259207278490067 | Resolution type = None
Job 18: Waiting time = 0.0003398978151381016 | Resolution time = 0.00021824287250638008 | Resolution type = None
Job 19: Waiting time = 0.00026133470237255096 | Resolution time = 0.00024787522852420807 | Resolution type = None
Job 20: Waiting time = 0.00026487885043025017 | Resolution time = 0.0002508140169084072 | Resolution type = None
Job 21: Waiting time = 0.000422455370426178 | Resolution time = 0.00027671223506331444 | Resolution type = None
Job 22: Waiting time = 0.0003045680932700634 | Resolution time = 0.00029061874374747276 | Resolution type = None
Job 23: Waiting time = 0.0003751940093934536 | Resolution time = 0.00026337942108511925 | Resolution type = None
Job 24: Waiting time = 0.00030726008117198944 | Resolution time = 0.0002917689271271229 | Resolution type = None
Job 25: Waiting time = 0.00035701971501111984 | Resolution time = 0.00034263497218489647 | Resolution type = None
Job 26: Waiting time = 0.0004035518504679203 | Resolution time = 0.00038890540599823 | Resolution type = None
Job 27: Waiting time = 0.000352613627910614 | Resolution time = 0.0003384011797606945 | Resolution type = None
Job 28: Waiting time = 0.0003766431473195553 | Resolution time = 0.0003604590892791748 | Resolution type = None
Job 29: Waiting time = 0.0004927548579871655 | Resolution time = 0.0004024156369268894 | Resolution type = None
Job 30: Waiting time = 0.0004099640063941479 | Resolution time = 0.00039484351873397827 | Resolution type = None
Job 31: Waiting time = 0.00039076292887330055 | Resolution time = 0.0003749229945242405 | Resolution type = None
Job 32: Waiting time = 0.0005407626740634441 | Resolution time = 0.0005236193537712097 | Resolution type = None
Job 33: Waiting time = 0.0005659852176904678 | Resolution time = 0.00043036509305238724 | Resolution type = None
