Job 1: Waiting time = 8.624698966741562e-05 | Resolution time = 7.713725790381432e-05 | Resolution type = None
Job 2: Waiting time = 6.503984332084656e-05 | Resolution time = 5.8278441429138184e-05 | Resolution type = None
Job 3: Waiting time = 4.1692983359098434e-05 | Resolution time = 3.601051867008209e-05 | Resolution type = None
Job 4: Waiting time = 4.4235959649086e-05 | Resolution time = 3.6679208278656006e-05 | Resolution type = None
Job 5: Waiting time = 0.00011824490502476692 | Resolution time = 8.870195597410202e-05 | Resolution type = None
Job 6: Waiting time = 0.00014748098328709602 | Resolution time = 2.722209319472313e-05 | Resolution type = None
Job 7: Waiting time = 5.859602242708206e-05 | Resolution time = 4.4179148972034454e-05 | Resolution type = None
Job 8: Waiting time = 5.973083898425102e-05 | Resolution time = 4.4621992856264114e-05 | Resolution type = None
Job 9: Waiting time = 6.348220631480217e-05 | Resolution time = 4.968419671058655e-05 | Resolution type = None
Job 10: Waiting time = 7.196376100182533e-05 | Resolution time = 5.84237277507782e-05 | Resolution type = None
Job 11: Waiting time = 8.840905502438545e-05 | Resolution time = 7.527275010943413e-05 | Resolution type = None
Job 12: Waiting time = 9.730318561196327e-05 | Resolution time = 8.378596976399422e-05 | Resolution type = None
Job 13: Waiting time = 0.00010009342804551125 | Resolution time = 8.685188367962837e-05 | Resolution type = None
Job 14: Waiting time = 0.00010500708594918251 | Resolution time = 9.121699258685112e-05 | Resolution type = None
Job 15: Waiting time = 0.00011642090976238251 | Resolution time = 0.00010191695764660835 | Resolution type = None
Job 16: Waiting time = 6.13541342318058e-05 | Resolution time = 4.857731983065605e-05 | Resolution type = None
Job 17: Waiting time = 0.0001154099591076374 | Resolution time = 0.00010010506957769394 | Resolution type = None
Job 18: Waiting time = 0.00010717101395130157 | Resolution time = 9.249662980437279e-05 | Resolution type = None
Job 19: Waiting time = 0.00010648835450410843 | Resolution time = 9.45189967751503e-05 | Resolution type = None
Job 20: Waiting time = 0.00011191610246896744 | Resolution time = 9.841984137892723e-05 | Resolution type = None
Job 21: Waiting time = 9.396811947226524e-05 | Resolution time = 8.036382496356964e-05 | Resolution type = None
Job 22: Waiting time = 0.00011424487456679344 | Resolution time = 0.00010034209117293358 | Resolution type = None
Job 23: Waiting time = 8.795876055955887e-05 | Resolution time = 7.37365335226059e-05 | Resolution type = None
Job 24: Waiting time = 9.595928713679314e-05 | Resolution time = 8.18772241473198e-05 | Resolution type = None
Job 25: Waiting time = 0.00014257105067372322 | Resolution time = 0.00012703891843557358 | Resolution type = None
Job 26: Waiting time = 0.00012400327250361443 | Resolution time = 0.000109928660094738 | Resolution type = None
Job 27: Waiting time = 0.00013792188838124275 | Resolution time = 0.00010890793055295944 | Resolution type = None
Job 28: Waiting time = 0.0001238700933754444 | Resolution time = 0.00010867184028029442 | Resolution type = None
Job 29: Waiting time = 0.00014158571138978004 | Resolution time = 0.00011833803728222847 | Resolution type = None
Job 30: Waiting time = 0.00010545505210757256 | Resolution time = 9.21059399843216e-05 | Resolution type = None
Job 31: Waiting time = 9.995698928833008e-05 | Resolution time = 8.586002513766289e-05 | Resolution type = None
Job 32: Waiting time = 0.00017126556485891342 | Resolution time = 6.913859397172928e-05 | Resolution type = None
Job 33: Waiting time = 0.00014728214591741562 | Resolution time = 0.00011625653132796288 | Resolution type = None
Job 34: Waiting time = 0.00014678901061415672 | Resolution time = 0.00012168474495410919 | Resolution type = None
Job 35: Waiting time = 0.0001487499102950096 | Resolution time = 0.00013251928612589836 | Resolution type = None
Job 36: Waiting time = 0.0001356438733637333 | Resolution time = 0.00012206099927425385 | Resolution type = None
Job 37: Waiting time = 0.000221950002014637 | Resolution time = 0.00011035939678549767 | Resolution type = None
Job 38: Waiting time = 0.00015831692144274712 | Resolution time = 0.00014132820069789886 | Resolution type = None
Job 39: Waiting time = 0.00011962978169322014 | Resolution time = 0.0001042541116476059 | Resolution type = None
Job 40: Waiting time = 0.00012849830090999603 | Resolution time = 0.00011458899825811386 | Resolution type = None
Job 41: Waiting time = 0.00010986998677253723 | Resolution time = 9.6167903393507e-05 | Resolution type = None
Job 42: Waiting time = 0.0001020161435008049 | Resolution time = 8.66432674229145e-05 | Resolution type = None
Job 43: Waiting time = 0.00013696681708097458 | Resolution time = 0.00012461701408028603 | Resolution type = None
Job 44: Waiting time = 0.00010598171502351761 | Resolution time = 8.172495290637016e-05 | Resolution type = None
Job 45: Waiting time = 0.00011336104944348335 | Resolution time = 9.794114157557487e-05 | Resolution type = None
Job 46: Waiting time = 0.0001178220845758915 | Resolution time = 0.0001035439781844616 | Resolution type = None
Job 47: Waiting time = 0.00019888021051883698 | Resolution time = 9.083794429898262e-05 | Resolution type = None
Job 48: Waiting time = 0.00014501390978693962 | Resolution time = 0.00012991717085242271 | Resolution type = None
Job 49: Waiting time = 0.00012206891551613808 | Resolution time = 0.00010948395356535912 | Resolution type = None
Job 50: Waiting time = 0.00010184803977608681 | Resolution time = 8.753268048167229e-05 | Resolution type = None
Job 51: Waiting time = 0.0002186950296163559 | Resolution time = 0.00020066695287823677 | Resolution type = None
Job 52: Waiting time = 0.0002542058937251568 | Resolution time = 0.00010613678023219109 | Resolution type = None
Job 53: Waiting time = 0.00013231299817562103 | Resolution time = 0.00011587189510464668 | Resolution type = None
Job 54: Waiting time = 0.00011276034638285637 | Resolution time = 9.773997589945793e-05 | Resolution type = None
Job 55: Waiting time = 0.00017185509204864502 | Resolution time = 0.00015328731387853622 | Resolution type = None
Job 56: Waiting time = 0.0001632971689105034 | Resolution time = 0.0001464872620999813 | Resolution type = None
Job 57: Waiting time = 0.00015933671966195107 | Resolution time = 0.00014459295198321342 | Resolution type = None
Job 58: Waiting time = 0.00017174426466226578 | Resolution time = 0.00014564814046025276 | Resolution type = None
Job 59: Waiting time = 0.00023281481117010117 | Resolution time = 0.00012505240738391876 | Resolution type = None
Job 60: Waiting time = 0.00013973424211144447 | Resolution time = 0.00012558512389659882 | Resolution type = None
Job 61: Waiting time = 0.00013947999104857445 | Resolution time = 0.0001253080554306507 | Resolution type = None
Job 62: Waiting time = 0.0001574018970131874 | Resolution time = 0.00014157313853502274 | Resolution type = None
Job 63: Waiting time = 0.0001118653453886509 | Resolution time = 9.610410779714584e-05 | Resolution type = None
Job 64: Waiting time = 0.0001887013204395771 | Resolution time = 0.00017180293798446655 | Resolution type = None

----- VACATION Started -----
Start time: 1.0876367138698697
Duration: 18.532005880959332
Jobs in the system: 1110
------ VACATION ENDED ------

--- Normal Period 2 starts... ---
Job 65: Waiting time = 18.53551262896508 | Resolution time = 0.003295375034213066 | Resolution type = None
Job 66: Waiting time = 18.520318496041 | Resolution time = 0.001381643582135439 | Resolution type = None
Job 67: Waiting time = 18.50425680493936 | Resolution time = 0.0012940391898155212 | Resolution type = None
Job 68: Waiting time = 18.496003695763648 | Resolution time = 0.0013750814832746983 | Resolution type = None
Job 69: Waiting time = 18.479796863161027 | Resolution time = 0.002078928053379059 | Resolution type = None
Job 70: Waiting time = 18.467667694203556 | Resolution time = 0.0017764987424015999 | Resolution type = None
Job 71: Waiting time = 18.45935116801411 | Resolution time = 0.001371501013636589 | Resolution type = None
Job 72: Waiting time = 18.441995684988797 | Resolution time = 0.0012761671096086502 | Resolution type = None
Job 73: Waiting time = 18.427465626969934 | Resolution time = 0.0012703570537269115 | Resolution type = None
Job 74: Waiting time = 18.41199128795415 | Resolution time = 0.0014162198640406132 | Resolution type = None
Job 75: Waiting time = 18.39888260420412 | Resolution time = 0.0013331505469977856 | Resolution type = None
Job 76: Waiting time = 18.37686808919534 | Resolution time = 0.0016624224372208118 | Resolution type = None
Job 77: Waiting time = 18.365157431922853 | Resolution time = 0.0013952068984508514 | Resolution type = None
Job 78: Waiting time = 18.344170772936195 | Resolution time = 0.0012485827319324017 | Resolution type = None
Job 79: Waiting time = 18.33098101336509 | Resolution time = 0.0013849800452589989 | Resolution type = None
Job 80: Waiting time = 18.324064298998564 | Resolution time = 0.0017571537755429745 | Resolution type = None
Job 81: Waiting time = 18.313039138913155 | Resolution time = 0.002204607240855694 | Resolution type = None
Job 82: Waiting time = 18.30300173489377 | Resolution time = 0.0014929091557860374 | Resolution type = None
Job 83: Waiting time = 18.290670040994883 | Resolution time = 0.0012488430365920067 | Resolution type = None
Job 84: Waiting time = 18.272026336286217 | Resolution time = 0.0011925306171178818 | Resolution type = None
Job 85: Waiting time = 18.258414662908763 | Resolution time = 0.0014243312180042267 | Resolution type = None
Job 86: Waiting time = 18.236323825083673 | Resolution time = 0.0012072897516191006 | Resolution type = None
Job 87: Waiting time = 18.216599761042744 | Resolution time = 0.001201370730996132 | Resolution type = None
Job 88: Waiting time = 18.208071172237396 | Resolution time = 0.0013269288465380669 | Resolution type = None
Job 89: Waiting time = 18.187939752358943 | Resolution time = 0.0014280560426414013 | Resolution type = None
Job 90: Waiting time = 18.179892038926482 | Resolution time = 0.001220946665853262 | Resolution type = None
Job 91: Waiting time = 18.170230838935822 | Resolution time = 0.0013210601173341274 | Resolution type = None
Job 92: Waiting time = 18.160836038179696 | Resolution time = 0.0016376408748328686 | Resolution type = None
Job 93: Waiting time = 18.144019338302314 | Resolution time = 0.0014438214711844921 | Resolution type = None
Job 94: Waiting time = 18.12742217630148 | Resolution time = 0.0014420617371797562 | Resolution type = None
Job 95: Waiting time = 18.118803359102458 | Resolution time = 0.0015698098577558994 | Resolution type = None
Job 96: Waiting time = 18.1080793752335 | Resolution time = 0.0014117616228759289 | Resolution type = None
Job 97: Waiting time = 18.099462534766644 | Resolution time = 0.0013935589231550694 | Resolution type = None
Job 98: Waiting time = 18.08735373802483 | Resolution time = 0.0012564756907522678 | Resolution type = None
Job 99: Waiting time = 18.06664924090728 | Resolution time = 0.001379644963890314 | Resolution type = None
Job 100: Waiting time = 18.06081883283332 | Resolution time = 0.0012943106703460217 | Resolution type = None
Job 101: Waiting time = 18.036601477768272 | Resolution time = 0.0011888723820447922 | Resolution type = None
Job 102: Waiting time = 18.023404135834426 | Resolution time = 0.0013071969151496887 | Resolution type = None
Job 103: Waiting time = 18.009388857055455 | Resolution time = 0.0013046180829405785 | Resolution type = None
Job 104: Waiting time = 17.98777848435566 | Resolution time = 0.001467907801270485 | Resolution type = None
Job 105: Waiting time = 17.97097901534289 | Resolution time = 0.0013248524628579617 | Resolution type = None
Job 106: Waiting time = 17.956780287902802 | Resolution time = 0.0015163091011345387 | Resolution type = None
Job 107: Waiting time = 17.938784528058022 | Resolution time = 0.0016478048637509346 | Resolution type = None
Job 108: Waiting time = 17.917746546212584 | Resolution time = 0.001374552957713604 | Resolution type = None
Job 109: Waiting time = 17.891887194942683 | Resolution time = 0.0013212328776717186 | Resolution type = None
Job 110: Waiting time = 17.873207713011652 | Resolution time = 0.001301886048167944 | Resolution type = None
Job 111: Waiting time = 17.86060574511066 | Resolution time = 0.0014593820087611675 | Resolution type = None
Job 112: Waiting time = 17.85410341108218 | Resolution time = 0.0012192190624773502 | Resolution type = None
Job 113: Waiting time = 17.83199382573366 | Resolution time = 0.0012591774575412273 | Resolution type = None
Job 114: Waiting time = 17.816503830254078 | Resolution time = 0.0013519139029085636 | Resolution type = None
Job 115: Waiting time = 17.797281277831644 | Resolution time = 0.0017044278793036938 | Resolution type = None
Job 116: Waiting time = 17.78709534276277 | Resolution time = 0.002222446259111166 | Resolution type = None
Job 117: Waiting time = 17.778664731886238 | Resolution time = 0.001300375908613205 | Resolution type = None
Job 118: Waiting time = 17.767725399229676 | Resolution time = 0.001211076509207487 | Resolution type = None
Job 119: Waiting time = 17.743284137919545 | Resolution time = 0.0013595512136816978 | Resolution type = None
Job 120: Waiting time = 17.731848323252052 | Resolution time = 0.001346819568425417 | Resolution type = None
Job 121: Waiting time = 17.710387097205967 | Resolution time = 0.0013245432637631893 | Resolution type = None
Job 122: Waiting time = 17.688480821903795 | Resolution time = 0.0013567153364419937 | Resolution type = None
Job 123: Waiting time = 17.666603134013712 | Resolution time = 0.0013068011030554771 | Resolution type = None
Job 124: Waiting time = 17.641842819284648 | Resolution time = 0.0017088204622268677 | Resolution type = None
Job 125: Waiting time = 17.62141353916377 | Resolution time = 0.001374224666506052 | Resolution type = None
Job 126: Waiting time = 17.614700404927135 | Resolution time = 0.0012714150361716747 | Resolution type = None
Job 127: Waiting time = 17.60151857882738 | Resolution time = 0.0013520638458430767 | Resolution type = None
Job 128: Waiting time = 17.58505118312314 | Resolution time = 0.001489880494773388 | Resolution type = None
Normal period 2 ended!

----- VACATION Started -----
Start time: 19.713433345779777
Duration: 18.123859188053757
Jobs in the system: 2141
------ VACATION ENDED ------

--- Normal Period 3 starts... ---
Job 129: Waiting time = 35.701297499239445 | Resolution time = 0.0015158499591052532 | Resolution type = None
Job 130: Waiting time = 35.69058410730213 | Resolution time = 0.0012962776236236095 | Resolution type = None
Job 131: Waiting time = 35.68037285283208 | Resolution time = 0.0012676590122282505 | Resolution type = None
Job 132: Waiting time = 35.658101591747254 | Resolution time = 0.001205424778163433 | Resolution type = None
Job 133: Waiting time = 35.639915828127414 | Resolution time = 0.0013482426293194294 | Resolution type = None
Job 134: Waiting time = 35.622503612190485 | Resolution time = 0.0012630634009838104 | Resolution type = None
Job 135: Waiting time = 35.60444620531052 | Resolution time = 0.0014826059341430664 | Resolution type = None
Job 136: Waiting time = 35.58344527287409 | Resolution time = 0.0014926441945135593 | Resolution type = None
Job 137: Waiting time = 35.57401884580031 | Resolution time = 0.0013550096191465855 | Resolution type = None
Job 138: Waiting time = 35.55226844921708 | Resolution time = 0.001297853421419859 | Resolution type = None
Job 139: Waiting time = 35.53031042404473 | Resolution time = 0.0012733987532556057 | Resolution type = None
Job 140: Waiting time = 35.51854089414701 | Resolution time = 0.0012955949641764164 | Resolution type = None
Job 141: Waiting time = 35.50266473181546 | Resolution time = 0.0012376629747450352 | Resolution type = None
Job 142: Waiting time = 35.485512061044574 | Resolution time = 0.0017575360834598541 | Resolution type = None
Job 143: Waiting time = 35.46576412487775 | Resolution time = 0.0012827380560338497 | Resolution type = None
Job 144: Waiting time = 35.45281145488843 | Resolution time = 0.0012048017233610153 | Resolution type = None
Job 145: Waiting time = 35.43948236992583 | Resolution time = 0.0012515531852841377 | Resolution type = None
Job 146: Waiting time = 35.42243262287229 | Resolution time = 0.001283980906009674 | Resolution type = None
Job 147: Waiting time = 35.413021503947675 | Resolution time = 0.0012798886746168137 | Resolution type = None
Job 148: Waiting time = 35.402659956831485 | Resolution time = 0.0013042162172496319 | Resolution type = None
Job 149: Waiting time = 35.393271368928254 | Resolution time = 0.0012844447046518326 | Resolution type = None
Job 150: Waiting time = 35.370675100944936 | Resolution time = 0.0012895278632640839 | Resolution type = None
Job 151: Waiting time = 35.345856244210154 | Resolution time = 0.0015631821006536484 | Resolution type = None
Job 152: Waiting time = 35.32385091902688 | Resolution time = 0.001359123270958662 | Resolution type = None
Job 153: Waiting time = 35.30332165816799 | Resolution time = 0.0012463307939469814 | Resolution type = None
Job 154: Waiting time = 35.28663810295984 | Resolution time = 0.0013004550710320473 | Resolution type = None
Job 155: Waiting time = 35.272481673862785 | Resolution time = 0.00128271896392107 | Resolution type = None
Job 156: Waiting time = 35.2507992037572 | Resolution time = 0.0013606180436909199 | Resolution type = None
Job 157: Waiting time = 35.22845594678074 | Resolution time = 0.0013595465570688248 | Resolution type = None
Job 158: Waiting time = 35.21198366722092 | Resolution time = 0.0012324098497629166 | Resolution type = None
Job 159: Waiting time = 35.19577859295532 | Resolution time = 0.0012645330280065536 | Resolution type = None
Job 160: Waiting time = 35.18716714112088 | Resolution time = 0.001363800372928381 | Resolution type = None
Job 161: Waiting time = 35.16569271590561 | Resolution time = 0.001242898404598236 | Resolution type = None
Job 162: Waiting time = 35.15306159388274 | Resolution time = 0.0011563790030777454 | Resolution type = None
Job 163: Waiting time = 35.13398018106818 | Resolution time = 0.0015235799364745617 | Resolution type = None
Job 164: Waiting time = 35.124069979880005 | Resolution time = 0.0015774210914969444 | Resolution type = None
Job 165: Waiting time = 35.111822959035635 | Resolution time = 0.0011654151603579521 | Resolution type = None
Job 166: Waiting time = 35.09115762403235 | Resolution time = 0.00123562291264534 | Resolution type = None
Job 167: Waiting time = 35.07645682245493 | Resolution time = 0.0012364513240754604 | Resolution type = None
Job 168: Waiting time = 35.05938557488844 | Resolution time = 0.0012122588232159615 | Resolution type = None
Job 169: Waiting time = 35.04680103762075 | Resolution time = 0.001294353511184454 | Resolution type = None
Job 170: Waiting time = 35.02798352017999 | Resolution time = 0.0012549571692943573 | Resolution type = None
Job 171: Waiting time = 35.00770439999178 | Resolution time = 0.0015939990989863873 | Resolution type = None
Job 172: Waiting time = 34.989020831882954 | Resolution time = 0.0014300504699349403 | Resolution type = None
Job 173: Waiting time = 34.96080266498029 | Resolution time = 0.001277436502277851 | Resolution type = None
Job 174: Waiting time = 34.952013508882374 | Resolution time = 0.0011503198184072971 | Resolution type = None
Job 175: Waiting time = 34.929978471715 | Resolution time = 0.0012496765702962875 | Resolution type = None
