Job 1: Waiting time = 0.00010307226330041885 | Resolution time = 7.683923467993736e-05 | Resolution type = None
Job 2: Waiting time = 0.00020283274352550507 | Resolution time = 7.289787754416466e-05 | Resolution type = None
Job 3: Waiting time = 0.00011756317690014839 | Resolution time = 0.00010287528857588768 | Resolution type = None
Job 4: Waiting time = 9.136321023106575e-05 | Resolution time = 6.221514195203781e-05 | Resolution type = None
Job 5: Waiting time = 7.241591811180115e-05 | Resolution time = 5.685817450284958e-05 | Resolution type = None
Job 6: Waiting time = 9.72449779510498e-05 | Resolution time = 8.142460137605667e-05 | Resolution type = None
Job 7: Waiting time = 7.76178203523159e-05 | Resolution time = 6.204983219504356e-05 | Resolution type = None
Job 8: Waiting time = 0.00012173596769571304 | Resolution time = 0.00010787975043058395 | Resolution type = None
Job 9: Waiting time = 8.992105722427368e-05 | Resolution time = 7.584504783153534e-05 | Resolution type = None
Job 10: Waiting time = 9.186705574393272e-05 | Resolution time = 6.72386959195137e-05 | Resolution type = None
Job 11: Waiting time = 9.860889986157417e-05 | Resolution time = 8.182600140571594e-05 | Resolution type = None
Job 12: Waiting time = 6.309989839792252e-05 | Resolution time = 4.80026938021183e-05 | Resolution type = None
Job 13: Waiting time = 0.0001026601530611515 | Resolution time = 8.89771617949009e-05 | Resolution type = None
Job 14: Waiting time = 8.458131924271584e-05 | Resolution time = 7.049879059195518e-05 | Resolution type = None
Job 15: Waiting time = 7.084384560585022e-05 | Resolution time = 5.5705197155475616e-05 | Resolution type = None
Job 16: Waiting time = 9.621074423193932e-05 | Resolution time = 8.037500083446503e-05 | Resolution type = None
Job 17: Waiting time = 0.00010772794485092163 | Resolution time = 8.402299135923386e-05 | Resolution type = None
Job 18: Waiting time = 7.588602602481842e-05 | Resolution time = 6.339512765407562e-05 | Resolution type = None
Job 19: Waiting time = 6.552832201123238e-05 | Resolution time = 5.001947283744812e-05 | Resolution type = None
Job 20: Waiting time = 0.0002603367902338505 | Resolution time = 0.00013056490570306778 | Resolution type = None
Job 21: Waiting time = 8.03433358669281e-05 | Resolution time = 6.539095193147659e-05 | Resolution type = None
Job 22: Waiting time = 9.671319276094437e-05 | Resolution time = 8.078617975115776e-05 | Resolution type = None
Job 23: Waiting time = 0.00012131314724683762 | Resolution time = 0.00010439567267894745 | Resolution type = None
Job 24: Waiting time = 7.949303835630417e-05 | Resolution time = 6.45071268081665e-05 | Resolution type = None
Job 25: Waiting time = 0.00014529190957546234 | Resolution time = 0.00012710830196738243 | Resolution type = None
Job 26: Waiting time = 0.0001431289128959179 | Resolution time = 0.00012560468167066574 | Resolution type = None
Job 27: Waiting time = 8.621020242571831e-05 | Resolution time = 7.148087024688721e-05 | Resolution type = None
Job 28: Waiting time = 0.0001360294409096241 | Resolution time = 0.00012046517804265022 | Resolution type = None
Job 29: Waiting time = 0.0001320759765803814 | Resolution time = 0.00011228304356336594 | Resolution type = None
Job 30: Waiting time = 0.00025236280634999275 | Resolution time = 0.00011547515168786049 | Resolution type = None
Job 31: Waiting time = 0.0001298747956752777 | Resolution time = 0.00011432822793722153 | Resolution type = None
Job 32: Waiting time = 0.00012975512072443962 | Resolution time = 0.00011147698387503624 | Resolution type = None
Job 33: Waiting time = 9.223399683833122e-05 | Resolution time = 7.589487358927727e-05 | Resolution type = None
Job 34: Waiting time = 0.00010690512135624886 | Resolution time = 8.38628038764e-05 | Resolution type = None
