Job 1: Waiting time = 0.00010890793055295944 | Resolution time = 9.600818157196045e-05 | Resolution type = None
Job 2: Waiting time = 0.00010642223060131073 | Resolution time = 9.791413322091103e-05 | Resolution type = None
Job 3: Waiting time = 0.00019184686243534088 | Resolution time = 7.124431431293488e-05 | Resolution type = None
Job 4: Waiting time = 7.284805178642273e-05 | Resolution time = 5.912827327847481e-05 | Resolution type = None
Job 5: Waiting time = 0.00010388204827904701 | Resolution time = 7.920525968074799e-05 | Resolution type = None
Job 6: Waiting time = 7.013091817498207e-05 | Resolution time = 5.523301661014557e-05 | Resolution type = None
Job 7: Waiting time = 5.9400685131549835e-05 | Resolution time = 4.672771319746971e-05 | Resolution type = None
Job 8: Waiting time = 9.549735113978386e-05 | Resolution time = 5.702674388885498e-05 | Resolution type = None
Job 9: Waiting time = 0.00010742712765932083 | Resolution time = 9.343214333057404e-05 | Resolution type = None
Job 10: Waiting time = 5.844980478286743e-05 | Resolution time = 4.337122663855553e-05 | Resolution type = None
Job 11: Waiting time = 7.543107494711876e-05 | Resolution time = 5.966192111372948e-05 | Resolution type = None
Job 12: Waiting time = 7.00601376593113e-05 | Resolution time = 5.418062210083008e-05 | Resolution type = None
Job 13: Waiting time = 0.00010496517643332481 | Resolution time = 9.142095223069191e-05 | Resolution type = None
Job 14: Waiting time = 0.00010586902499198914 | Resolution time = 9.05599445104599e-05 | Resolution type = None
Job 15: Waiting time = 6.337324157357216e-05 | Resolution time = 4.985090345144272e-05 | Resolution type = None
Job 16: Waiting time = 0.00011172192171216011 | Resolution time = 9.23830084502697e-05 | Resolution type = None
Job 17: Waiting time = 6.140023469924927e-05 | Resolution time = 4.567904397845268e-05 | Resolution type = None
Job 18: Waiting time = 9.885383769869804e-05 | Resolution time = 8.31112265586853e-05 | Resolution type = None
Job 19: Waiting time = 6.541935727000237e-05 | Resolution time = 5.124462768435478e-05 | Resolution type = None
Job 20: Waiting time = 0.00012882938608527184 | Resolution time = 0.00011061877012252808 | Resolution type = None
Job 21: Waiting time = 7.206201553344727e-05 | Resolution time = 5.488330498337746e-05 | Resolution type = None
