{sub_5, obj_38, read}
{sub_44, obj_22, read}
{sub_8, obj_28, read}
{sub_44, obj_43, read}
{sub_26, obj_35, read}
{sub_10, obj_32, read}
{sub_8, obj_27, read}
{sub_1, obj_41, read}
{sub_36, obj_31, read}
{sub_4, obj_27, read}
{sub_6, obj_23, read}
{sub_6, obj_37, read}
{sub_29, obj_39, read}
{sub_5, obj_21, read}
{sub_24, obj_21, read}
{sub_33, obj_29, read}
{sub_29, obj_26, read}
{sub_6, obj_10, read}
{sub_38, obj_2, read}
{sub_13, obj_44, read}
{sub_6, obj_2, read}
{sub_35, obj_34, read}
{sub_16, obj_21, read}
{sub_5, obj_27, read}
{sub_16, obj_25, read}
{sub_7, obj_1, read}
{sub_8, obj_10, read}
{sub_23, obj_28, read}
{sub_5, obj_32, read}
{sub_18, obj_41, read}
{sub_17, obj_28, read}
{sub_10, obj_14, read}
{sub_15, obj_41, read}
{sub_7, obj_7, read}
{sub_12, obj_4, read}
{sub_24, obj_18, read}
{sub_23, obj_39, read}
{sub_4, obj_32, read}
{sub_17, obj_24, read}
{sub_24, obj_42, read}
{sub_25, obj_8, read}
{sub_42, obj_40, read}
{sub_11, obj_33, read}
{sub_4, obj_15, read}
{sub_3, obj_6, read}
{sub_3, obj_41, read}
{sub_9, obj_7, read}
{sub_31, obj_12, read}
{sub_31, obj_32, read}
{sub_32, obj_11, read}
{sub_26, obj_44, read}
{sub_15, obj_38, read}
{sub_14, obj_3, read}
{sub_8, obj_2, read}
{sub_7, obj_18, read}
{sub_28, obj_16, read}
{sub_21, obj_13, read}
{sub_30, obj_34, read}
{sub_36, obj_22, read}
{sub_44, obj_34, read}
{sub_38, obj_36, read}
{sub_4, obj_3, read}
{sub_22, obj_43, read}
{sub_36, obj_45, read}
{sub_34, obj_33, read}
{sub_15, obj_29, read}
{sub_34, obj_8, read}
{sub_43, obj_38, read}
{sub_38, obj_12, read}
{sub_32, obj_20, read}
{sub_24, obj_17, read}
{sub_39, obj_41, read}
{sub_24, obj_12, read}
{sub_30, obj_42, read}
{sub_44, obj_30, read}
{sub_29, obj_19, read}
{sub_9, obj_18, read}
{sub_45, obj_18, read}
{sub_34, obj_15, read}
{sub_19, obj_28, read}
{sub_41, obj_12, read}
{sub_33, obj_40, read}
{sub_15, obj_45, read}
{sub_44, obj_38, read}
{sub_41, obj_6, read}
{sub_27, obj_16, read}
{sub_25, obj_40, read}
{sub_14, obj_17, read}
{sub_44, obj_7, read}
{sub_7, obj_45, read}
{sub_24, obj_29, read}
{sub_41, obj_35, read}
{sub_23, obj_31, read}
{sub_13, obj_34, read}
{sub_25, obj_32, read}
{sub_32, obj_10, read}
{sub_18, obj_38, read}
{sub_45, obj_28, read}
{sub_25, obj_13, read}
{sub_11, obj_27, read}
{sub_1, obj_11, read}
{sub_20, obj_38, read}
{sub_27, obj_34, read}
{sub_16, obj_1, read}
{sub_2, obj_44, read}
{sub_10, obj_13, read}
{sub_40, obj_18, read}
{sub_41, obj_38, read}
{sub_1, obj_43, read}
{sub_5, obj_7, read}
{sub_44, obj_37, read}
{sub_42, obj_45, read}
{sub_42, obj_28, read}
{sub_43, obj_35, read}
{sub_20, obj_40, read}
{sub_9, obj_3, read}
{sub_5, obj_33, read}
{sub_12, obj_3, read}
{sub_15, obj_18, read}
{sub_6, obj_34, read}
{sub_31, obj_40, read}
{sub_27, obj_30, read}
{sub_16, obj_45, read}
{sub_15, obj_7, read}
{sub_36, obj_21, read}
{sub_22, obj_12, read}
{sub_33, obj_10, read}
{sub_43, obj_2, read}
{sub_9, obj_16, read}
{sub_44, obj_25, read}
{sub_38, obj_43, read}
{sub_6, obj_33, read}
{sub_29, obj_7, read}
{sub_22, obj_27, read}
{sub_12, obj_27, read}
{sub_20, obj_23, read}
{sub_2, obj_30, read}
{sub_2, obj_26, read}
{sub_9, obj_44, read}
{sub_33, obj_45, read}
{sub_25, obj_42, read}
{sub_22, obj_36, read}
{sub_27, obj_14, read}
{sub_7, obj_13, read}
{sub_15, obj_43, read}
{sub_3, obj_26, read}
{sub_44, obj_12, read}
{sub_6, obj_44, read}
{sub_30, obj_3, read}
{sub_10, obj_2, read}
{sub_11, obj_16, read}
{sub_21, obj_24, read}
{sub_38, obj_37, read}
{sub_20, obj_24, read}
{sub_29, obj_14, read}
{sub_6, obj_12, read}
{sub_44, obj_21, read}
{sub_33, obj_28, read}
{sub_45, obj_3, read}
{sub_42, obj_32, read}
{sub_33, obj_16, read}
{sub_18, obj_31, read}
{sub_15, obj_36, read}
{sub_36, obj_40, read}
{sub_35, obj_21, read}
{sub_39, obj_34, read}
{sub_9, obj_26, read}
{sub_16, obj_12, read}
{sub_3, obj_18, read}
{sub_45, obj_38, read}
{sub_12, obj_12, read}
{sub_21, obj_10, read}
{sub_41, obj_11, read}
{sub_36, obj_42, read}
{sub_24, obj_1, read}
{sub_35, obj_8, read}
{sub_27, obj_17, read}
{sub_3, obj_21, read}
{sub_2, obj_7, read}
{sub_22, obj_30, read}
{sub_15, obj_10, read}
{sub_4, obj_33, read}
{sub_22, obj_3, read}
{sub_21, obj_28, read}
{sub_18, obj_3, read}
{sub_19, obj_12, read}
{sub_23, obj_44, read}
{sub_1, obj_17, read}
{sub_32, obj_30, read}
{sub_8, obj_45, read}
{sub_8, obj_16, read}
{sub_5, obj_34, read}
{sub_31, obj_41, read}
{sub_17, obj_33, read}
{sub_20, obj_28, read}
{sub_2, obj_12, read}
{sub_25, obj_30, read}
{sub_14, obj_15, read}
{sub_24, obj_20, read}
{sub_13, obj_10, read}
{sub_45, obj_22, read}
{sub_4, obj_10, read}
{sub_21, obj_45, read}
{sub_2, obj_10, read}
{sub_29, obj_6, read}
{sub_33, obj_32, read}
{sub_18, obj_17, read}
{sub_28, obj_11, read}
{sub_6, obj_4, read}
{sub_37, obj_28, read}
{sub_28, obj_28, read}
{sub_40, obj_21, read}
{sub_31, obj_24, read}
{sub_36, obj_37, read}
{sub_9, obj_36, read}
{sub_26, obj_27, read}
{sub_22, obj_17, read}
{sub_25, obj_37, read}
{sub_21, obj_12, read}
{sub_10, obj_38, read}
{sub_14, obj_37, read}
{sub_36, obj_1, read}
{sub_36, obj_8, read}
{sub_34, obj_34, read}
{sub_10, obj_9, read}
{sub_25, obj_19, read}
{sub_32, obj_28, read}
{sub_22, obj_44, read}
{sub_42, obj_41, read}
{sub_18, obj_16, read}
{sub_45, obj_30, read}
{sub_11, obj_20, read}
{sub_31, obj_18, read}
{sub_40, obj_3, read}
{sub_7, obj_19, read}
{sub_28, obj_45, read}
{sub_35, obj_23, read}
{sub_24, obj_23, read}
{sub_31, obj_42, read}
{sub_38, obj_41, read}
{sub_42, obj_12, read}
{sub_17, obj_32, read}
{sub_2, obj_22, read}
{sub_43, obj_18, read}
{sub_21, obj_27, read}
{sub_15, obj_12, read}
{sub_30, obj_21, read}
{sub_12, obj_2, read}
{sub_37, obj_42, read}
{sub_24, obj_28, read}
{sub_32, obj_24, read}
{sub_22, obj_16, read}
{sub_38, obj_25, read}
{sub_30, obj_12, read}
{sub_8, obj_26, read}
{sub_21, obj_20, read}
{sub_33, obj_38, read}
{sub_30, obj_17, read}
{sub_41, obj_10, read}
{sub_3, obj_14, read}
{sub_29, obj_44, read}
{sub_33, obj_4, read}
{sub_15, obj_6, read}
{sub_25, obj_7, read}
{sub_10, obj_23, read}
{sub_32, obj_33, read}
{sub_19, obj_32, read}
{sub_10, obj_39, read}
{sub_43, obj_3, read}
{sub_25, obj_45, read}
{sub_7, obj_34, read}
{sub_34, obj_24, read}
{sub_14, obj_39, read}
{sub_16, obj_29, read}
